percent_race_one_race_asian,percent_race_one_race_black_or_african_american,percent_race_one_race_native_hawaiian_and_other_pacific_islander,geographic_area_name,percent_race_one_race_white,Year,percent_hispanic_or_latino
0.7,30.6,0.0,"Hammond, LA",67.4,2010,3.5
4.2,7.6,0.0,"Hanford, CA",76.2,2010,51.0
2.6,10.2,0.1,"Harrisburg, PA",83.1,2010,4.7
1.2,4.4,0.0,"Harrisonburg, VA",91.0,2010,9.3
3.8,10.5,0.1,"Hartford, CT",77.3,2010,12.5
0.3,30.4,0.0,"Hattiesburg, MS",67.2,2010,2.3
0.5,0.6,0.1,"Helena, MT",93.4,2010,2.5
2.4,7.1,0.1,"Hickory, NC",85.6,2010,6.3
23.0,0.5,12.0,"Hilo, HI",32.4,2010,11.5
0.9,23.8,0.0,"Hilton Head Island, SC",68.3,2010,12.0
1.7,37.9,0.0,"Hinesville, GA",50.5,2010,10.0
2.8,1.1,0.0,"Holland, MI",89.0,2010,8.7
1.6,3.1,0.0,"Homosassa Springs, FL",92.7,2010,4.7
44.5,2.0,9.6,"Honolulu, HI",20.8,2010,8.1
0.9,8.4,0.1,"Hot Springs, AR",85.2,2010,4.9
0.5,16.5,0.0,"Houma, LA",74.4,2010,3.9
6.6,17.2,0.0,"Houston, TX",65.6,2010,35.4
0.4,2.6,0.0,"Huntington, WV",94.6,2010,0.8
2.2,21.7,0.1,"Huntsville, AL",71.9,2010,4.8
1.1,22.3,0.0,"Huntsville, TX",71.9,2010,16.9
0.3,3.6,0.1,"Hutchinson, KS",91.5,2010,8.4
0.5,0.4,0.0,"Idaho Falls, ID",91.2,2010,11.6
1.0,2.5,0.2,"Indiana, PA",94.9,2010,1.1
2.3,15.0,0.0,"Indianapolis, IN",78.0,2010,6.2
4.5,4.1,0.1,"Iowa City, IA",87.4,2010,4.8
9.8,4.8,0.0,"Ithaca, NY",82.5,2010,4.2
0.9,8.6,0.0,"Jackson, MI",87.6,2010,3.1
1.2,48.1,0.0,"Jackson, MS",49.2,2010,2.1
0.5,33.7,0.3,"Jackson, TN",63.2,2010,2.9
3.3,22.1,0.0,"Jacksonville, FL",70.8,2010,7.0
2.0,16.5,0.2,"Jacksonville, NC",75.4,2010,10.1
0.6,2.6,0.0,"Jamestown, NY",92.8,2010,6.2
1.0,3.3,0.1,"Janesville, WI",90.1,2010,7.6
0.9,7.8,0.0,"Jefferson City, MO",88.8,2010,2.1
0.7,2.8,0.0,"Johnson City, TN",94.3,2010,2.6
0.7,3.6,0.1,"Johnstown, PA",94.2,2010,1.4
1.0,11.7,0.0,"Jonesboro, AR",85.2,2010,3.8
0.8,1.5,0.2,"Joplin, MO",89.8,2010,6.1
25.2,0.4,9.5,"Kahului, HI",34.8,2010,10.2
1.6,10.1,0.0,"Kalamazoo, MI",83.9,2010,5.4
0.6,0.0,0.0,"Kalispell, MT",95.5,2010,2.4
0.9,14.9,0.1,"Kankakee, IL",78.1,2010,9.0
2.3,12.6,0.1,"Kansas City, MO",79.6,2010,8.3
36.3,0.2,9.2,"Kapaa, HI",33.2,2010,9.4
1.5,0.3,0.0,"Keene, NH",96.0,2010,1.6
2.8,1.5,0.1,"Kennewick, WA",73.2,2010,28.8
0.6,7.0,0.1,"Key West, FL",90.7,2010,20.7
2.7,19.4,0.6,"Killeen, TX",69.7,2010,20.5
0.3,2.4,0.0,"Kingsport, TN",94.9,2010,1.0
1.8,5.3,0.0,"Kingston, NY",87.7,2010,8.8
0.4,0.1,0.1,"Klamath Falls, OR",88.9,2010,11.1
1.6,7.0,0.1,"Knoxville, TN",89.2,2010,3.2
0.2,5.7,0.0,"Kokomo, IN",89.7,2010,2.8
3.6,1.8,0.0,"La Crosse, WI",92.9,2010,1.6
5.3,3.5,0.1,"Lafayette, IN",87.8,2010,6.9
1.8,26.7,0.1,"Lafayette, LA",69.9,2010,3.6
1.7,33.2,0.0,"LaGrange, GA",62.6,2010,3.3
1.1,24.5,0.1,"Lake Charles, LA",71.8,2010,2.5
0.5,16.6,0.0,"Lake City, FL",78.5,2010,4.8
1.2,0.9,0.0,"Lake Havasu City, AZ",91.4,2010,14.9
1.7,14.7,0.0,"Lakeland, FL",78.7,2010,17.8
2.0,3.8,0.0,"Lancaster, PA",90.1,2010,8.7
0.6,24.3,0.0,"Lancaster, SC",73.4,2010,4.4
3.8,8.3,0.0,"Lansing, MI",82.1,2010,6.2
0.8,0.1,0.0,"Laredo, TX",93.5,2010,95.7
1.1,1.2,0.0,"Las Cruces, NM",90.0,2010,65.9
8.7,10.4,0.7,"Las Vegas, NV",67.9,2010,29.2
N,N,N,"Laurel, MS",N,2010,0.6
3.5,3.7,0.0,"Lawrence, KS",84.2,2010,5.2
2.3,17.0,0.6,"Lawton, OK",64.3,2010,11.2
1.7,0.6,0.0,"Lebanon, NH",95.0,2010,1.6
0.9,1.4,0.0,"Lebanon, PA",89.8,2010,9.3
0.7,0.2,0.3,"Lewiston, ID",91.5,2010,3.0
0.3,2.6,0.1,"Lewiston, ME",93.0,2010,1.6
2.4,10.4,0.1,"Lexington, KY",81.9,2010,5.9
2.4,14.2,0.0,"Lexington Park, MD",79.5,2010,3.8
0.8,12.2,0.0,"Lima, OH",82.7,2010,2.4
3.6,3.2,0.4,"Lincoln, NE",89.7,2010,5.7
N,N,N,"Lincolnton, NC",N,2010,6.7
1.4,22.7,0.0,"Little Rock, AR",73.7,2010,4.8
1.9,0.5,0.1,"Logan, UT",90.8,2010,9.6
0.8,18.2,0.1,"Longview, TX",76.0,2010,14.8
1.8,0.0,0.0,"Longview, WA",90.3,2010,7.8
14.8,6.9,0.3,"Los Angeles, CA",54.7,2010,44.5
1.6,13.7,0.0,"Louisville/Jefferson County, KY",81.8,2010,3.9
2.2,7.2,0.1,"Lubbock, TX",78.5,2010,32.6
0.5,14.8,0.0,"Lufkin, TX",78.0,2010,19.9
0.8,24.2,0.1,"Lumberton, NC",32.5,2010,8.1
1.3,17.4,0.0,"Lynchburg, VA",78.4,2010,1.5
1.3,44.2,0.0,"Macon, GA",51.5,2010,2.7
2.4,3.9,0.1,"Madera, CA",84.0,2010,53.8
4.2,4.4,0.0,"Madison, WI",87.7,2010,5.4
3.4,1.8,0.0,"Manchester, NH",91.1,2010,5.3
3.4,8.2,0.2,"Manhattan, KS",82.5,2010,8.1
1.9,0.9,0.0,"Manitowoc, WI",94.2,2010,3.1
1.7,4.0,0.0,"Mankato, MN",92.6,2010,1.9
N,N,N,"Mansfield, OH",N,2010,1.4
N,N,N,"Marinette, WI",N,2010,0.9
N,N,N,"Marion, IN",N,2010,3.7
0.6,5.3,0.0,"Marion, OH",91.0,2010,2.3
N,N,N,"Marion, IL",N,2010,2.0
0.6,1.6,0.0,"Marquette, MI",93.7,2010,1.2
N,N,N,"Marshall, TX",N,2010,11.2
N,N,N,"Marshfield, WI",N,2010,2.3
N,N,N,"Martinsville, VA",N,2010,3.9
0.3,4.1,0.0,"Mayag?ez, PR",55.0,2010,97.8
1.1,0.5,0.0,"McAllen, TX",86.7,2010,90.7
0.4,1.8,0.0,"Meadville, PA",96.2,2010,1.0
1.0,0.6,0.1,"Medford, OR",91.9,2010,10.7
1.9,45.6,0.0,"Memphis, TN",48.4,2010,4.8
7.9,3.9,0.0,"Merced, CA",74.3,2010,55.0
0.3,42.8,0.0,"Meridian, MS",54.3,2010,2.4
2.3,20.9,0.0,"Miami, FL",71.7,2010,41.7
0.8,10.1,0.0,"Michigan City, IN",86.2,2010,5.5
2.1,1.4,0.0,"Midland, MI",94.1,2010,2.1
1.4,6.7,0.0,"Midland, TX",86.1,2010,37.9
2.9,16.5,0.0,"Milwaukee, WI",74.4,2010,9.5
5.7,7.3,0.0,"Minneapolis, MN",82.0,2010,5.4
0.8,2.3,0.3,"Minot, ND",91.2,2010,2.8
0.8,0.5,0.1,"Missoula, MT",93.5,2010,2.7
1.9,34.8,0.0,"Mobile, AL",60.7,2010,2.4
4.8,2.7,0.7,"Modesto, CA",78.2,2010,42.1
0.8,35.6,0.0,"Monroe, LA",61.4,2010,2.1
0.5,2.2,0.0,"Monroe, MI",94.9,2010,3.1
1.4,42.5,0.0,"Montgomery, AL",52.9,2010,3.3
0.6,5.7,0.0,"Morehead City, NC",89.0,2010,3.5
2.5,3.2,0.0,"Morgantown, WV",92.2,2010,1.7
0.4,2.7,0.0,"Morristown, TN",94.2,2010,6.8
1.2,2.1,0.0,"Moses Lake, WA",72.9,2010,38.4
0.5,3.0,0.0,"Mount Airy, NC",91.2,2010,9.7
1.7,2.8,0.1,"Mount Pleasant, MI",88.9,2010,3.2
1.6,0.5,0.2,"Mount Vernon, WA",89.1,2010,16.8
1.1,5.7,0.0,"Muncie, IN",89.5,2010,1.8
0.7,13.7,0.0,"Muskegon, MI",80.4,2010,4.8
0.6,10.3,0.2,"Muskogee, OK",62.7,2010,5.2
1.2,13.4,0.2,"Myrtle Beach, SC",79.6,2010,6.2
7.3,2.2,0.1,"Napa, CA",82.6,2010,32.4
1.1,6.5,0.0,"Naples, FL",85.8,2010,26.0
2.3,15.4,0.0,"Nashville, TN",77.9,2010,6.6
0.9,20.3,0.2,"New Bern, NC",71.0,2010,7.2
0.2,4.6,0.1,"New Castle, PA",93.5,2010,1.1
3.5,12.6,0.0,"New Haven, CT",75.1,2010,15.1
2.2,31.5,0.0,"New Iberia, LA",62.4,2010,3.2
2.8,34.0,0.2,"New Orleans, LA",58.3,2010,7.9
N,N,N,"New Philadelphia, OH",N,2010,1.9
10.0,17.4,0.0,"New York, NY",59.6,2010,23.0
1.8,15.3,0.0,"Niles, MI",78.1,2010,4.5
1.5,6.0,0.1,"North Port, FL",87.7,2010,11.2
0.5,4.2,0.0,"North Wilkesboro, NC",90.9,2010,5.4
4.4,6.2,0.0,"Norwich, CT",82.4,2010,8.5
4.3,1.8,0.7,"Oak Harbor, WA",85.7,2010,5.6
1.3,12.2,0.1,"Ocala, FL",81.1,2010,11.0
1.0,4.1,0.0,"Ocean City, NJ",91.4,2010,6.3
0.3,4.6,0.0,"Odessa, TX",83.9,2010,52.9
1.5,1.3,0.2,"Ogden, UT",89.1,2010,11.8
1.2,2.1,0.0,"Ogdensburg, NY",93.7,2010,1.9
2.8,10.2,0.1,"Oklahoma City, OK",73.6,2010,11.4
0.8,1.6,0.0,"Olean, NY",93.2,2010,1.8
5.0,2.8,0.8,"Olympia, WA",83.7,2010,7.1
1.8,7.6,0.1,"Omaha, NE",85.1,2010,9.0
0.5,41.3,0.0,"Opelousas, LA",56.2,2010,1.6
0.3,63.4,0.0,"Orangeburg, SC",35.3,2010,2.0
3.7,15.8,0.1,"Orlando, FL",73.3,2010,25.4
2.0,1.9,0.0,"Oshkosh, WI",92.7,2010,3.5
0.3,1.9,0.0,"Ottawa, IL",94.7,2010,7.7
0.5,4.3,0.1,"Owensboro, KY",92.6,2010,2.6
0.1,0.4,0.2,"Owosso, MI",97.3,2010,2.4
7.0,1.8,0.2,"Oxnard, CA",74.8,2010,40.4
0.6,8.1,0.0,"Paducah, KY",88.2,2010,1.7
0.3,16.8,0.0,"Palatka, FL",78.0,2010,9.0
2.0,10.1,0.0,"Palm Bay, FL",83.7,2010,8.2
2.4,10.5,0.4,"Palm Coast, FL",81.0,2010,8.7
2.1,9.2,0.0,"Panama City, FL",82.6,2010,4.9
0.5,0.9,0.0,"Parkersburg, WV",96.7,2010,0.9
1.8,19.6,0.0,"Pascagoula, MS",75.9,2010,4.4
0.8,0.7,0.3,"Pendleton, OR",89.6,2010,26.5
2.4,16.8,0.3,"Pensacola, FL",75.8,2010,4.6
1.8,9.4,0.0,"Peoria, IL",86.2,2010,2.7
5.0,20.9,0.0,"Philadelphia, PA",68.8,2010,7.9
3.2,5.1,0.2,"Phoenix, AZ",80.5,2010,29.6
0.3,48.8,0.0,"Pine Bluff, AR",48.9,2010,1.3
1.7,8.1,0.0,"Pittsburgh, PA",87.8,2010,1.3
0.9,2.9,0.0,"Pittsfield, MA",92.6,2010,3.5
1.1,4.1,0.0,"Plattsburgh, NY",93.1,2010,2.5
0.7,0.4,0.2,"Pocatello, ID",91.4,2010,8.6
0.1,4.7,0.0,"Ponce, PR",68.5,2010,99.4
1.0,1.3,0.0,"Port Angeles, WA",87.6,2010,5.2
1.7,1.7,0.0,"Portland, ME",94.6,2010,1.5
5.7,3.0,0.4,"Portland, OR",81.9,2010,10.9
1.2,14.4,0.0,"Port St. Lucie, FL",77.5,2010,15.1
0.1,2.8,0.0,"Portsmouth, OH",94.0,2010,1.1
0.6,3.1,0.0,"Pottsville, PA",94.7,2010,2.8
3.0,10.3,0.0,"Poughkeepsie, NY",77.6,2010,14.8
0.8,0.4,0.0,"Prescott, AZ",93.1,2010,13.7
2.6,5.2,0.1,"Providence, RI",84.2,2010,10.3
1.1,0.6,0.8,"Provo, UT",90.7,2010,10.7
0.9,1.3,0.2,"Pueblo, CO",78.0,2010,41.5
1.3,5.6,0.0,"Punta Gorda, FL",90.9,2010,5.8
0.6,3.1,0.2,"Quincy, IL",93.2,2010,1.4
1.3,10.7,0.0,"Racine, WI",79.5,2010,11.5
4.3,20.2,0.0,"Raleigh, NC",70.2,2010,10.2
0.5,1.2,0.0,"Rapid City, SD",85.2,2010,3.9
1.3,4.6,0.0,"Reading, PA",84.3,2010,16.4
2.2,0.8,0.3,"Redding, CA",87.9,2010,8.5
5.2,2.5,0.2,"Reno, NV",83.7,2010,22.2
1.0,2.3,0.0,"Richmond, IN",90.6,2010,2.7
3.1,30.2,0.0,"Richmond, VA",63.3,2010,5.0
N,N,N,"Richmond, KY",N,2010,1.9
6.2,7.4,0.3,"Riverside, CA",65.9,2010,47.4
1.3,13.1,0.0,"Roanoke, VA",83.1,2010,3.4
0.6,52.8,0.0,"Roanoke Rapids, NC",39.2,2010,1.1
3.9,3.5,0.0,"Rochester, MN",89.3,2010,3.9
2.6,11.4,0.0,"Rochester, NY",81.7,2010,6.2
2.4,11.1,0.1,"Rockford, IL",82.9,2010,12.4
0.6,45.0,0.0,"Rocky Mount, NC",49.8,2010,5.3
1.4,14.1,0.0,"Rome, GA",80.5,2010,9.3
0.9,0.1,0.0,"Roseburg, OR",93.8,2010,4.8
0.7,1.3,0.2,"Roswell, NM",85.6,2010,50.1
0.5,2.9,0.0,"Russellville, AR",87.4,2010,11.0
11.9,7.2,0.8,"Sacramento, CA",67.2,2010,20.3
1.2,18.4,0.0,"Saginaw, MI",75.2,2010,7.8
1.9,3.0,0.0,"St. Cloud, MN",92.8,2010,2.6
0.8,0.2,1.1,"St. George, UT",93.3,2010,9.8
0.8,6.1,0.0,"St. Joseph, MO",89.8,2010,3.9
2.0,18.5,0.0,"St. Louis, MO",76.9,2010,2.6
2.0,0.9,0.7,"Salem, OR",81.3,2010,22.0
6.1,2.9,0.6,"Salinas, CA",77.6,2010,55.5
2.3,27.8,0.0,"Salisbury, MD",65.2,2010,4.4
1.0,16.9,0.0,"Salisbury, NC",76.3,2010,7.7
2.9,1.5,1.5,"Salt Lake City, UT",86.8,2010,16.6
1.0,4.2,0.3,"San Angelo, TX",86.9,2010,35.6
2.0,6.4,0.1,"San Antonio, TX",77.8,2010,54.2
10.8,5.0,0.4,"San Diego, CA",71.6,2010,32.1
0.5,7.2,0.0,"Sandusky, OH",87.7,2010,3.4
23.4,8.2,0.7,"San Francisco, CA",55.4,2010,21.7
