total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
100756,9.3,6.9,87375,67449,145008,26.5,18.1,75063,117023,5929.0,31007,69945,26626,17.8,2014,"Florence, AL"
69430,6.0,2.3,60571,54738,98375,13.9,9.7,49443,79391,5668.0,21492,48932,16312,9.2,2014,"Fond du Lac, WI"
46195,7.0,6.5,38546,26673,65789,33.0,21.4,34180,53097,6641.0,14572,31609,12671,21.7,2014,"Forest City, NC"
207772,6.1,4.8,205307,174753,315189,11.8,13.2,158957,257483,7298.0,65615,156232,44267,15.2,2014,"Fort Collins, CO"
183342,12.5,5.8,166542,124639,274602,34.2,23.4,138533,215940,6191.0,66503,136069,41557,21.8,2014,"Fort Smith, AR"
272863,6.2,5.5,254832,219104,418858,21.1,14.6,213642,322013,5800.0,108280,205216,55746,13.6,2014,"Fort Wayne, IN"
50162,7.5,3.5,44509,37167,70843,11.1,10.0,34771,57056,6012.0,15709,36072,10625,10.2,2014,"Frankfort, KY"
571245,14.4,5.6,568059,428636,949344,38.9,27.7,479057,702551,6665.0,275309,470287,105976,24.8,2014,"Fresno, CA"
70781,9.5,4.6,62422,48021,101848,29.9,18.4,52397,82408,5292.0,22047,49451,17379,16.8,2014,"Gadsden, AL"
160631,9.6,4.2,173240,130476,255743,21.0,22.2,132627,212768,8444.0,48224,123116,34279,25.1,2014,"Gainesville, FL"
121147,9.6,6.9,112674,91796,187884,25.0,16.6,93944,144286,5877.0,49518,93940,25692,14.5,2014,"Gainesville, GA"
44215,25.6,10.1,44441,27776,73577,46.3,37.9,37740,54045,7128.0,21735,35837,7401,35.9,2014,"Gallup, NM"
69500,4.2,5.4,59573,51142,97507,15.7,11.4,49347,79939,7592.0,20480,48160,17454,12.1,2014,"Gettysburg, PA"
89656,6.7,3.8,76927,62857,123592,22.8,14.6,62414,102867,6543.0,23843,61178,22822,14.4,2014,"Glens Falls, NY"
52284,8.3,1.4,50274,44710,75479,7.7,8.5,39223,60505,8003.0,16793,36256,8412,8.7,2014,"Glenwood Springs, CO"
78867,12.2,4.2,74479,56022,121981,43.6,25.5,62934,95164,5729.0,29883,59047,17619,21.4,2014,"Goldsboro, NC"
59766,6.8,7.1,61930,53634,95755,24.2,18.9,47237,76208,6376.0,21353,48518,12472,19.4,2014,"Grand Forks, ND"
54894,13.0,1.5,48472,45315,82675,18.7,14.8,41454,63702,5805.0,21390,41221,12813,13.6,2014,"Grand Island, NE"
98854,7.5,3.2,88519,74499,144821,22.7,16.9,72628,115368,6080.0,32078,72193,24224,17.4,2014,"Grand Junction, CO"
655312,7.1,3.7,624718,532388,1003598,17.8,13.8,509489,785301,6769.0,249515,494109,129365,13.5,2014,"Grand Rapids, MI"
60681,6.2,2.9,46382,31815,82966,34.1,19.6,43123,69654,6860.0,16155,39843,20429,20.5,2014,"Grants Pass, OR"
54506,7.0,4.0,48163,38659,80161,14.0,13.3,40483,63636,5908.0,18531,39678,13467,14.8,2014,"Great Falls, MT"
173779,5.7,6.5,166888,142896,270867,10.5,9.8,134335,204814,7373.0,73497,136532,30482,10.3,2014,"Greeley, CO"
209922,7.5,1.7,189944,166528,306479,17.4,11.9,154203,241593,6090.0,73384,152276,43151,10.8,2014,"Green Bay, WI"
48202,10.3,1.7,39912,31779,65726,21.2,16.4,33684,55048,6775.0,12644,32042,13170,16.8,2014,"Greeneville, TN"
51770,5.8,4.4,44650,39725,69733,14.9,11.7,35553,58397,5110.0,12611,34180,12472,12.4,2014,"Greenfield Town, MA"
495473,8.8,3.9,453616,365280,728181,26.4,17.3,378212,580420,6756.0,167498,349969,107067,16.0,2014,"Greensboro, NC"
103287,10.0,7.5,111883,90500,168645,25.4,23.5,88685,135143,7736.0,37456,79960,19306,25.3,2014,"Greenville, NC"
567038,7.6,4.1,516107,413050,838157,22.7,16.5,430720,666020,6647.0,194307,407437,127743,16.3,2014,"Greenville, SC"
61532,10.9,5.8,53914,42470,90442,40.1,24.4,47226,72808,6311.0,20575,43216,15953,22.4,2014,"Greenwood, SC"
50513,44.8,7.4,45116,17793,76863,59.7,52.6,40544,60149,8185.0,18126,36319,13621,52.1,2014,"Guayama, PR"
252958,10.2,3.9,233996,175515,377979,20.5,16.7,192467,295480,7137.0,90336,185512,53647,16.7,2014,"Gulfport, MS"
170593,7.3,1.5,155188,129151,250385,21.4,13.9,127943,197585,6306.0,58816,122442,36381,12.6,2014,"Hagerstown, MD"
79785,15.8,1.8,76425,58032,123668,30.9,21.6,62285,95987,5966.0,31344,61383,15899,19.0,2014,"Hammond, LA"
76178,11.8,0.0,79562,54775,133732,38.5,26.6,67222,97256,6571.0,41131,66510,13039,23.0,2014,"Hanford, CA"
381395,5.1,1.9,337649,289208,542389,16.6,11.1,279796,437563,6760.0,118757,262593,85983,10.7,2014,"Harrisburg, PA"
77397,8.2,4.7,78527,67823,121072,20.2,19.3,61571,99272,8600.0,24767,59501,17778,21.5,2014,"Harrisonburg, VA"
817895,8.0,1.9,734086,657469,1168155,15.7,11.1,600749,949141,7116.0,251687,567406,182382,10.4,2014,"Hartford, CT"
92818,7.0,12.0,91305,68741,145553,24.4,20.6,75320,112473,7010.0,36637,70233,17611,21.6,2014,"Hattiesburg, MS"
54425,4.8,8.4,46641,40186,75972,14.4,11.9,38019,61090,4939.0,16641,37953,12690,13.0,2014,"Helena, MT"
51934,7.5,3.5,47071,37948,81725,31.0,19.1,41915,62171,6497.0,22104,39810,12550,16.5,2014,"Hermiston, OR"
248067,12.5,1.8,217628,171767,355044,28.4,18.9,181815,286640,6649.0,76464,173229,60952,17.4,2014,"Hickory, NC"
134215,10.0,1.6,115256,88127,190993,23.6,17.9,94747,153896,7958.0,41924,96246,33813,18.1,2014,"Hilo, HI"
140795,5.1,1.8,108969,88629,197157,30.2,14.1,100657,160068,6306.0,41307,96500,46881,11.8,2014,"Hilton Head Island, SC"
45665,11.5,11.2,49953,33430,80060,21.3,15.6,41108,57620,5710.0,23962,38952,6145,13.4,2014,"Hinesville, GA"
39876,9.9,5.1,39708,30877,67261,25.6,17.6,33295,48486,6724.0,20351,33966,7202,15.0,2014,"Hobbs, NM"
76172,8.1,0.9,68026,55683,112683,13.5,11.1,57438,87856,7725.0,27980,55245,16677,10.8,2014,"Holland, MI"
109176,10.4,5.0,68411,48611,137612,38.1,21.2,71482,119640,6204.0,20834,66130,48367,23.7,2014,"Homosassa Springs, FL"
67051,6.8,5.9,55432,43725,95726,24.0,18.9,48792,77772,6139.0,19765,46934,20529,21.5,2014,"Hot Springs, AR"
136633,8.4,9.1,130039,97291,205647,30.3,20.9,106808,161090,7142.0,49340,98839,26268,19.8,2014,"Houma, LA"
4075182,10.4,3.9,4041136,3292629,6404189,22.2,15.3,3234380,4852813,6806.0,1734523,3169809,628530,13.2,2014,"Houston, TX"
246808,9.9,4.3,214495,156673,354489,24.1,18.2,180362,285479,6020.0,77418,174127,62576,18.5,2014,"Huntington, WV"
293974,10.4,4.9,271074,220686,429348,20.4,14.4,221206,341338,6053.0,99051,208142,59223,13.0,2014,"Huntsville, AL"
41196,4.7,3.3,42812,29385,66418,35.5,24.5,34230,55275,9330.0,12753,32188,10853,26.3,2014,"Huntsville, TX"
40918,8.8,4.0,35484,31942,60906,25.4,15.9,30474,48774,5254.0,14268,30432,11154,14.3,2014,"Hutchinson, KS"
81707,8.2,6.7,76955,61388,136601,20.2,15.1,69003,97513,5174.0,43443,67598,16203,13.6,2014,"Idaho Falls, ID"
55949,7.2,7.5,51510,39991,81534,20.3,16.8,40633,67589,6782.0,15627,40901,14397,18.5,2014,"Indiana, PA"
1277627,6.0,4.1,1204638,1020536,1927448,21.2,14.8,992453,1491677,6883.0,487131,934995,235679,14.0,2014,"Indianapolis, IN"
97867,7.3,9.3,104426,89066,155885,8.0,16.0,77751,125119,7700.0,33950,78134,17509,20.0,2014,"Iowa City, IA"
59059,3.9,2.1,63483,47693,90634,18.1,19.8,47044,76948,8257.0,15116,43590,12035,23.3,2014,"Ithaca, NY"
103533,6.6,1.8,90537,73043,148682,25.4,15.0,76426,120123,6986.0,33079,72256,25066,13.5,2014,"Jackson, MI"
363799,12.8,7.1,344058,275909,555375,25.6,18.5,292974,429785,7034.0,140879,262401,70438,16.8,2014,"Jackson, MS"
84014,9.1,3.3,76506,59670,125392,29.1,21.1,65035,98652,5965.0,29622,60357,19264,21.1,2014,"Jackson, TN"
952943,9.1,3.1,874483,694939,1389409,22.6,15.4,719844,1109432,7152.0,317481,669565,197445,14.2,2014,"Jacksonville, FL"
96972,6.8,4.6,111008,71142,174076,15.6,13.2,83996,130816,5999.0,47330,90080,15738,13.0,2014,"Jacksonville, NC"
87844,9.7,3.0,76477,60715,126061,28.7,19.4,63421,102107,7037.0,27027,62640,22557,19.0,2014,"Jamestown, NY"
107442,6.8,3.7,96893,83848,158092,26.3,15.6,80905,124556,5489.0,37839,77187,23360,13.5,2014,"Janesville, WI"
94139,7.1,2.2,84652,71543,139062,21.8,13.9,71356,109581,7247.0,33417,67706,20993,12.4,2014,"Jefferson City, MO"
139898,9.2,6.9,121508,92653,194658,26.4,19.8,100542,160821,6358.0,38318,94116,34832,20.8,2014,"Johnson City, TN"
94734,8.3,3.6,76581,62578,129575,26.5,15.4,66754,106491,5441.0,25948,62821,27046,14.1,2014,"Johnstown, PA"
80055,7.9,6.8,75546,57346,123266,38.1,23.5,64410,95823,7008.0,30581,58856,17139,21.1,2014,"Jonesboro, AR"
113978,11.0,6.5,103933,86842,171983,20.6,17.5,87848,133602,6173.0,42871,84135,25179,17.9,2014,"Joplin, MO"
113554,10.0,1.7,101319,87178,159630,18.0,13.2,79337,129367,7472.0,34108,80293,24203,12.4,2014,"Kahului, HI"
209041,7.2,5.2,204901,167506,324136,20.9,18.7,165541,259307,6552.0,73521,158595,45714,20.4,2014,"Kalamazoo, MI"
66484,9.8,3.5,57124,47406,93002,15.9,12.9,47059,75736,5771.0,19645,45943,16233,12.8,2014,"Kalispell, MT"
70972,10.9,1.5,65421,54962,106624,18.9,13.7,54988,83864,6977.0,25883,51636,15320,12.3,2014,"Kankakee, IL"
1364842,7.7,3.3,1264203,1076076,2038482,17.9,12.6,1039566,1584857,6649.0,508601,998916,265678,11.4,2014,"Kansas City, MO"
49752,8.8,5.8,42082,36323,69261,11.1,11.9,35385,55970,6711.0,15098,33876,12081,13.1,2014,"Kapaa, HI"
51882,10.3,2.7,45092,41073,71622,16.4,12.8,35437,59222,4967.0,14014,36185,12516,12.4,2014,"Keene, NH"
165745,8.4,2.5,161019,128851,270505,25.7,16.3,133813,200843,6597.0,77884,136692,31602,13.3,2014,"Kennewick, WA"
56776,12.4,3.3,47588,40903,74820,17.0,14.6,36264,64705,7927.0,11486,38556,15746,14.8,2014,"Key West, FL"
245189,6.6,5.9,246407,182420,400862,19.7,13.9,203983,298566,6673.0,113590,196879,40865,12.4,2014,"Killeen, TX"
219109,10.6,6.3,181592,137063,303061,28.4,18.2,155470,249427,6242.0,60881,147591,60588,17.3,2014,"Kingsport, TN"
124446,10.5,4.4,109461,92346,172346,15.2,13.3,87582,143825,7282.0,32363,84764,30522,13.6,2014,"Kingston, NY"
45326,5.7,7.1,38641,27953,64582,29.5,22.2,32399,52218,6265.0,13810,32183,12131,24.8,2014,"Klamath Falls, OR"
579543,9.4,4.1,517456,404570,836233,24.6,17.3,430548,678805,6803.0,177780,405685,140997,16.9,2014,"Knoxville, TN"
56849,6.7,0.0,48632,39305,81525,24.2,18.2,41925,65419,6332.0,18438,39600,14455,19.3,2014,"Kokomo, IN"
86569,6.1,5.2,83918,75071,130959,6.0,11.8,65435,106426,6186.0,27224,65524,19817,15.0,2014,"La Crosse, WI"
310697,11.7,6.4,299225,244325,476648,21.0,16.3,244173,370915,6054.0,119916,232475,57507,15.2,2014,"Lafayette, LA"
118946,4.7,6.7,128762,101511,196866,21.9,22.3,98756,158044,7533.0,43680,98110,24424,25.7,2014,"Lafayette, IN"
42357,12.5,3.1,40992,32358,67456,23.3,18.6,35833,52616,6002.0,17189,31623,9275,18.0,2014,"LaGrange, GA"
132058,11.3,7.6,122547,93859,200664,26.4,18.2,102264,156092,6289.0,50548,98400,27569,16.4,2014,"Lake Charles, LA"
43753,15.6,4.3,36761,27119,62370,32.6,21.8,32636,50025,6514.0,14241,29734,11368,19.6,2014,"Lake City, FL"
149019,8.5,2.5,108336,75430,199004,30.5,20.6,100569,167242,7301.0,36119,98435,54549,23.4,2014,"Lake Havasu City, AZ"
427994,10.9,3.7,356703,276395,620664,27.3,18.1,318645,495692,7011.0,141740,302019,122221,16.8,2014,"Lakeland, FL"
349126,7.3,3.1,308594,274713,519532,14.5,10.4,265650,406158,6474.0,127365,253882,83573,9.6,2014,"Lancaster, PA"
292625,6.5,4.2,290490,235273,449553,18.5,16.1,231620,364784,6843.0,96729,217933,62334,17.3,2014,"Lansing, MI"
143064,29.7,15.1,150814,107633,263054,44.0,33.4,136300,181947,6508.0,90147,126754,22093,27.6,2014,"Laredo, TX"
125318,13.7,7.2,124633,99160,208588,43.2,29.6,106900,159975,7560.0,54439,101688,29516,27.5,2014,"Las Cruces, NM"
1377522,8.7,3.5,1286984,1047588,2044680,22.4,15.2,1025756,1613631,7198.0,485252,1018924,272444,13.8,2014,"Las Vegas, NV"
55908,11.7,8.8,49179,33643,83480,42.4,25.7,42131,65255,5418.0,20573,41349,13728,22.7,2014,"Laurel, MS"
64458,5.7,4.4,74102,60697,107915,16.5,20.5,54707,88326,7332.0,21978,53208,11835,24.0,2014,"Lawrence, KS"
76963,11.1,5.9,76402,54322,121906,23.1,18.2,61233,93673,5492.0,31051,60673,14453,17.6,2014,"Lawton, OK"
91701,5.8,2.7,78776,68434,133042,16.7,10.3,68932,105139,6458.0,30740,64110,23526,9.2,2014,"Lebanon, PA"
42510,9.7,4.3,35863,30090,60842,15.5,14.8,32505,48919,6468.0,13442,28337,11537,16.1,2014,"Lewiston, ID"
73838,10.3,2.1,64689,56473,104260,23.0,15.6,53746,83379,5329.0,22821,50514,16750,14.3,2014,"Lewiston, ME"
315634,7.6,5.1,308475,261385,475472,24.6,18.2,243249,379128,6911.0,106851,232223,60146,18.0,2014,"Lexington, KY"
66868,8.6,4.8,60399,50651,100999,24.2,17.8,51484,78738,5876.0,24593,49515,16007,17.6,2014,"Lima, OH"
193591,4.3,4.5,193582,175022,305176,17.2,14.0,154813,238963,5758.0,73082,150363,38512,14.8,2014,"Lincoln, NE"
475533,5.8,4.2,445228,357187,714960,19.1,14.0,370316,561812,6440.0,174390,344644,95342,13.8,2014,"Little Rock, AR"
66748,6.1,5.4,74831,59846,127380,11.9,14.5,63151,90177,7183.0,40930,64229,11619,17.2,2014,"Logan, UT"
82378,17.5,10.7,73984,49226,123441,43.0,29.9,62055,96145,5454.0,30419,61386,19038,27.7,2014,"London, KY"
135493,9.1,3.8,124174,98627,208277,25.1,16.2,104619,161559,6597.0,53538,103658,30565,14.1,2014,"Longview, TX"
69193,11.0,6.6,60265,44050,100038,31.4,22.5,50385,80975,6971.0,21851,49653,17922,22.6,2014,"Longview, WA"
8787896,12.6,4.3,8475102,6821647,13072846,24.6,17.3,6635168,10441944,7090.0,2983930,6437678,1613814,15.6,2014,"Los Angeles, CA"
846700,8.5,2.9,772125,649942,1237463,20.5,14.5,637775,980234,6278.0,289065,599688,176273,13.6,2014,"Louisville/Jefferson County, KY"
175656,9.9,6.9,183896,154280,293170,18.4,17.6,150004,227463,6961.0,73209,143166,36065,18.7,2014,"Lubbock, TX"
53927,9.5,11.2,49648,40334,84701,22.2,16.5,43199,64977,6277.0,22237,41502,12816,15.8,2014,"Lufkin, TX"
83711,18.6,3.6,80395,51032,131542,47.4,32.5,68422,101176,6663.0,34440,63120,16707,29.1,2014,"Lumberton, NC"
169047,7.7,4.4,149626,123417,245181,21.4,15.9,126234,200183,7202.0,51458,118947,44097,16.3,2014,"Lynchburg, VA"
149205,14.1,7.4,136605,103588,225235,35.3,24.3,118166,175730,7077.0,56255,107069,32375,22.2,2014,"Macon, GA"
88631,11.5,6.9,85121,60345,146331,30.7,22.2,75401,109233,6446.0,42118,70930,19092,20.3,2014,"Madera, CA"
413876,6.0,3.4,404847,366379,616856,14.8,12.7,310706,498311,6736.0,133676,306150,78333,13.4,2014,"Madison, WI"
278215,5.6,1.7,256774,230662,397118,12.0,8.7,200226,321606,6668.0,86624,196892,53720,8.2,2014,"Manchester, NH"
49902,4.3,6.5,60109,47597,88576,15.3,19.6,43048,70815,7424.0,19693,45528,8774,23.3,2014,"Manhattan, KS"
56738,6.5,1.8,48172,42172,79279,17.0,11.1,39502,65013,6161.0,16515,39777,14592,10.5,2014,"Manitowoc, WI"
60053,7.8,3.9,60556,54067,92959,14.6,16.3,46154,74969,7133.0,20032,46805,12371,18.6,2014,"Mankato, MN"
79392,9.1,3.3,67178,53706,114158,20.9,15.1,58255,91081,6750.0,25604,55903,21376,14.8,2014,"Mansfield, OH"
46964,12.1,2.5,37877,31577,63642,19.8,13.5,31348,52829,5370.0,12284,32294,13481,12.0,2014,"Marinette, WI"
44256,12.5,1.9,38011,29495,63751,35.1,19.9,33686,50903,5656.0,14149,30065,11591,16.5,2014,"Marion, IN"
41937,10.1,4.5,35928,28041,59412,29.4,24.3,30107,48745,7193.0,12789,29305,10695,26.7,2014,"Marion, OH"
42686,9.1,5.2,40000,29876,62362,15.1,16.2,31041,52052,7031.0,11730,31321,10632,18.3,2014,"Marquette, MI"
43024,17.3,4.9,39568,30043,65826,19.6,16.1,32937,51019,6086.0,16417,32889,9841,14.4,2014,"Marshall, TX"
47732,8.1,5.8,38361,28968,64375,36.0,21.4,34795,53361,5133.0,12098,29580,13916,21.6,2014,"Martinsville, VA"
64574,38.6,12.6,58240,35514,98195,58.6,48.4,51032,81993,8298.0,19064,47163,20891,48.6,2014,"Mayag?ez, PR"
451534,24.3,7.7,458307,333492,820586,46.5,34.0,423117,571200,5980.0,277918,397469,84361,28.2,2014,"McAllen, TX"
58982,5.6,1.0,49718,40399,83353,19.8,14.1,41732,67517,6652.0,18009,41621,15626,14.7,2014,"Meadville, PA"
146870,7.4,5.0,122372,97212,207992,26.3,18.1,106574,169707,5883.0,43776,101418,41844,18.8,2014,"Medford, OR"
856949,10.7,5.5,821780,663750,1319124,30.8,20.3,691059,1018054,6697.0,338740,628065,158604,17.9,2014,"Memphis, TN"
152767,10.6,5.9,153433,116881,259607,38.1,25.2,129595,190316,5986.0,78184,130012,27990,21.3,2014,"Merced, CA"
68272,18.7,7.9,61515,46740,100865,31.1,21.1,52381,80005,4794.0,23561,48484,15789,17.8,2014,"Meridian, MS"
4144948,14.8,5.1,3651088,3038692,5852950,23.8,17.2,3022418,4784888,6529.0,1208124,2830532,993738,15.6,2014,"Miami, FL"
70436,7.9,2.7,61634,52877,101920,36.2,19.4,53146,81554,5962.0,23456,48774,16830,16.2,2014,"Michigan City, IN"
57079,7.7,5.4,50741,41425,82062,13.2,11.7,41946,66527,6374.0,17796,40116,13525,12.3,2014,"Midland, MI"
100677,5.8,3.0,101503,88693,161989,6.5,7.8,80405,120903,7005.0,45034,81584,15452,8.6,2014,"Midland, TX"
1042898,8.0,3.2,964294,827291,1542429,22.9,15.4,792246,1216515,6421.0,366788,750183,211347,14.2,2014,"Milwaukee, WI"
2320123,6.6,2.6,2188920,1964762,3435606,13.6,10.3,1739227,2698084,6306.0,831706,1696379,414980,9.8,2014,"Minneapolis, MN"
48428,5.8,5.9,49783,43455,76609,11.4,8.1,37807,60441,6183.0,17961,38802,8865,7.3,2014,"Minot, ND"
72798,7.6,9.5,73380,63587,109512,10.3,15.4,53869,90516,6229.0,21326,55643,14806,18.5,2014,"Missoula, MT"
268624,11.5,4.0,246913,185409,403839,28.9,19.3,213149,317487,6139.0,98381,190690,58545,17.4,2014,"Mobile, AL"
329510,10.8,3.4,320986,244227,526121,23.7,18.0,265577,400548,7077.0,142556,260544,62579,16.8,2014,"Modesto, CA"
108881,12.9,12.3,99210,78923,166964,38.3,24.6,90228,127308,5061.0,44101,76736,23653,21.3,2014,"Monroe, LA"
102945,3.7,2.7,92336,73562,148125,13.3,9.7,75076,120194,7413.0,32734,73049,23055,9.9,2014,"Monroe, MI"
237848,9.2,4.2,224608,176207,362117,28.0,19.6,190254,284816,6052.0,88152,171863,49357,18.6,2014,"Montgomery, AL"
50570,7.0,8.0,40144,33500,67652,25.0,14.5,34805,56642,6309.0,12537,32847,14971,13.9,2014,"Morehead City, NC"
83757,8.0,9.8,89246,62954,127896,20.1,23.5,63264,108044,8140.0,22261,64632,16389,27.2,2014,"Morgantown, WV"
79024,9.8,0.0,67582,50841,112447,33.2,22.3,58203,90871,7163.0,24336,54244,20529,22.2,2014,"Morristown, TN"
55670,12.0,4.7,53202,43023,92324,14.0,13.8,45577,67706,6750.0,27684,46747,11438,14.0,2014,"Moses Lake, WA"
49821,13.3,9.3,42827,32688,71977,19.7,18.6,37594,58655,6837.0,15937,34383,13213,19.8,2014,"Mount Airy, NC"
36238,7.0,2.4,45136,35694,64058,25.4,30.3,32144,53837,7951.0,11654,31914,7268,35.3,2014,"Mount Pleasant, MI"
81887,7.3,8.6,69904,55217,118989,26.7,16.6,59810,95314,6678.0,26700,59179,22385,15.7,2014,"Mount Vernon, WA"
70675,8.9,5.2,70868,56112,109934,25.0,21.9,55625,91435,7512.0,21193,54309,17873,24.2,2014,"Muncie, IN"
110894,7.7,8.4,100561,77556,165097,26.9,20.3,84720,130871,6702.0,39411,80377,25125,20.8,2014,"Muskegon, MI"
43999,7.9,6.9,38885,29143,65874,33.6,22.8,33879,51241,6873.0,16544,31995,10445,22.1,2014,"Muskogee, OK"
305562,7.5,6.9,244086,198034,413067,31.2,17.4,210660,344496,5935.0,76983,202407,91998,16.7,2014,"Myrtle Beach, SC"
35816,9.3,13.8,36885,30693,60179,26.0,22.1,30552,46348,6569.0,15240,29627,8054,23.2,2014,"Nacogdoches, TX"
96550,7.2,0.4,84657,72428,138245,9.6,8.3,69858,112010,6494.0,29860,68387,23728,8.1,2014,"Napa, CA"
258008,6.0,2.6,181298,154433,345962,27.9,14.5,176223,289442,7135.0,63392,169739,101272,14.5,2014,"Naples, FL"
1181281,8.3,3.5,1123447,945606,1755771,21.6,15.1,901992,1381169,6684.0,419052,853779,213272,14.0,2014,"Nashville, TN"
83408,7.5,3.6,72378,55880,122424,29.4,16.5,61209,97874,6355.0,26752,61215,23294,14.6,2014,"New Bern, NC"
62194,6.9,5.9,51786,42315,86311,17.9,12.2,44028,71425,5953.0,17691,42283,16834,12.0,2014,"New Castle, PA"
582931,8.5,2.5,526268,451525,834738,18.3,13.1,432149,677547,6477.0,179897,402589,128573,12.5,2014,"New Haven, CT"
847369,12.4,5.7,785999,627950,1231756,27.0,18.1,637240,984914,6732.0,277409,594516,168348,16.3,2014,"New Orleans, LA"
63589,7.5,7.7,54700,46645,91447,16.5,13.3,46181,73034,5551.0,20772,45266,15975,13.8,2014,"New Philadelphia, OH"
13635995,12.2,3.0,12625162,10409003,19735932,20.4,14.6,10205110,15866864,6865.0,4367468,9530822,2743302,13.1,2014,"New York, NY"
104781,7.9,6.2,89834,74067,150704,25.3,17.4,77432,120701,6791.0,34286,73272,26584,17.2,2014,"Niles, MI"
565993,6.7,7.2,392295,325262,739058,19.4,12.0,384487,628379,6326.0,125355,354571,221408,12.6,2014,"North Port, FL"
48422,21.9,7.4,40172,30172,67467,32.8,27.4,35027,55439,6761.0,13994,32440,13301,27.3,2014,"North Wilkesboro, NC"
183762,6.4,0.9,163856,144905,261073,19.3,11.3,132108,212719,5655.0,54772,128965,42445,10.0,2014,"Norwich, CT"
57150,4.3,2.2,44335,35512,76865,16.1,10.4,38812,63940,5817.0,14613,38053,17917,11.1,2014,"Oak Harbor, WA"
242234,8.2,9.6,172646,133356,329080,27.9,17.4,172107,273977,6935.0,63430,156973,93004,18.4,2014,"Ocala, FL"
69495,10.2,0.4,54448,47138,92830,19.9,13.5,47065,79308,6577.0,16169,45765,22213,12.9,2014,"Ocean City, NJ"
90715,14.1,2.2,92504,75784,151602,13.7,10.0,75240,110425,6362.0,44689,76362,14409,7.6,2014,"Odessa, TX"
369395,6.7,4.7,363284,304983,626035,11.3,9.5,311860,448400,6264.0,199537,314175,63214,9.0,2014,"Ogden, UT"
69281,10.1,3.2,61056,47877,99277,27.9,18.8,49972,79891,6483.0,22182,49305,16039,17.8,2014,"Ogdensburg, NY"
847611,6.1,4.5,809715,667382,1299788,21.0,15.3,664852,1009665,6820.0,325004,634936,165069,14.9,2014,"Oklahoma City, OK"
52688,10.5,2.4,45989,36383,75934,20.6,15.8,38489,60720,5649.0,17085,37445,12860,15.5,2014,"Olean, NY"
182819,9.9,1.8,164682,133355,261328,16.1,12.0,133772,210082,7356.0,57111,127556,39535,11.1,2014,"Olympia, WA"
582047,6.7,2.6,548748,489104,887427,14.6,11.3,446700,680069,6511.0,231936,440727,106743,10.8,2014,"Omaha, NE"
52336,20.4,6.4,47760,28590,82451,44.6,32.3,43349,61533,5340.0,22994,39102,11697,29.3,2014,"Opelousas, LA"
58675,19.1,11.8,52739,36075,87445,49.6,32.0,46623,69714,7533.0,19782,40822,14924,29.1,2014,"Orangeburg, SC"
1546770,10.2,5.0,1450136,1179225,2278558,23.6,16.7,1166328,1823210,6600.0,512985,1112230,315437,15.6,2014,"Orlando, FL"
109120,6.8,7.5,102371,91566,161352,17.4,12.4,81051,130307,5901.0,34682,80301,24299,12.1,2014,"Oshkosh, WI"
103344,7.8,4.5,89101,73555,147449,20.0,13.5,75973,118899,6138.0,32157,71476,26191,12.9,2014,"Ottawa, IL"
77050,8.8,4.2,67295,52795,113315,22.5,14.9,57843,88765,6927.0,27587,55472,18433,13.4,2014,"Owensboro, KY"
47423,8.5,2.5,41837,33078,67973,26.2,15.8,34307,55397,5547.0,14745,33666,11391,14.1,2014,"Owosso, MI"
553837,8.5,2.8,520182,434590,834832,15.5,11.3,422604,656888,6411.0,201126,412228,113524,10.3,2014,"Oxnard, CA"
68200,11.1,10.7,58021,44521,95852,26.0,18.0,48916,78023,4478.0,20558,46936,17273,17.2,2014,"Paducah, KY"
49977,13.7,6.2,40600,26978,69549,50.8,30.1,36245,56810,7884.0,14359,33304,14590,28.7,2014,"Palatka, FL"
406924,7.7,3.4,324119,252438,550448,21.8,14.4,282035,460647,6731.0,102286,268413,124043,14.7,2014,"Palm Bay, FL"
132017,10.6,4.1,116470,87956,186852,19.3,14.7,95058,152019,5829.0,39423,91794,30959,14.3,2014,"Panama City, FL"
64938,8.7,5.1,55060,42231,91211,29.8,17.9,47047,74217,5078.0,19173,44164,16978,16.5,2014,"Parkersburg, WV"
305191,6.3,0.9,277493,214297,447039,17.2,12.5,227840,359946,6962.0,98776,219199,70770,12.4,2014,"Pensacola, FL"
251216,7.1,2.8,224728,189246,369434,17.8,12.6,188745,293406,6933.0,86947,180689,57759,12.1,2014,"Peoria, IL"
4059908,8.9,2.2,3722389,3134886,5900616,18.6,13.4,3061267,4724047,7087.0,1329592,2839349,848635,12.6,2014,"Philadelphia, PA"
