total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
76999,9.6,7.7,65567,41607,105938,27.3,20.4,54909,87612,5856.0,20852,51029,19519,21.5,2010,"Bluefield, WV"
385770,7.6,3.0,369062,305793,607523,21.2,16.2,306767,455609,6010.0,169849,300756,68612,15.5,2010,"Boise City, ID"
3054061,8.4,1.7,2876427,2532186,4420405,11.9,10.3,2283821,3564151,6416.0,973523,2136584,570455,10.2,2010,"Boston, MA"
187708,5.7,3.4,194411,166168,284733,16.6,14.7,142663,229695,6711.0,61890,142070,28432,15.4,2010,"Boulder, CO"
76711,5.5,5.0,80659,63355,123304,26.5,20.5,61705,97867,5180.0,28223,61599,14422,21.0,2010,"Bowling Green, KY"
56560,6.6,9.6,57669,48558,84215,12.8,14.1,40686,67140,5750.0,18658,43529,7888,15.6,2010,"Bozeman, MT"
64120,8.2,7.7,53040,44798,89943,16.5,13.3,44491,72653,4981.0,19602,45452,17301,13.7,2010,"Brainerd, MN"
57492,6.5,9.7,47388,37278,81174,31.9,20.2,40734,64635,5905.0,18413,40440,15373,20.2,2010,"Branson, MO"
165871,4.7,2.1,157155,119697,245328,15.7,11.3,123490,196627,6728.0,55643,121838,32530,11.1,2010,"Bremerton, WA"
609278,6.9,3.5,554452,480609,897928,10.9,9.4,459832,698743,6444.0,224881,438096,118595,9.4,2010,"Bridgeport, CT"
231196,21.0,5.3,226267,156063,401943,49.8,36.3,209165,285440,6023.0,131621,192778,44055,31.5,2010,"Brownsville, TX"
72963,6.9,4.8,66374,53138,106543,34.1,19.8,55310,83871,5040.0,24304,51233,15865,17.6,2010,"Brunswick, GA"
760017,8.5,3.1,693724,575143,1104149,21.4,14.4,569602,895187,5614.0,240754,534547,169671,13.4,2010,"Buffalo, NY"
98426,8.7,3.4,91921,78337,147954,31.6,18.9,77017,116016,6171.0,35724,70937,20309,16.2,2010,"Burlington, NC"
137554,5.8,2.9,134805,121031,201668,15.0,12.5,102525,164392,6221.0,42908,99143,23955,12.9,2010,"Burlington, VT"
274397,6.8,2.3,240946,201254,393641,23.9,14.7,201643,315694,5776.0,89332,191998,63363,13.4,2010,"Canton, OH"
449418,7.4,5.3,350117,278214,613103,29.2,17.4,311376,508085,6497.0,119194,301727,143792,17.5,2010,"Cape Coral, FL"
61063,9.1,5.0,57712,48463,92617,32.0,19.1,47266,72651,5553.0,22250,45351,12655,16.3,2010,"Cape Girardeau, MO"
