city,Year,per_capita_personal_income_dollars,personal_income_thousands_of_dollars,population_persons
"Longview, TX",2004,26828,7077540,263814
"Longview, TX",2005,28982,7705594,265873
"Longview, TX",2006,31849,8574938,269236
"Longview, TX",2007,33622,9127394,271474
"Longview, TX",2008,38259,10489153,274165
"Longview, TX",2009,35451,9866225,278306
"Longview, TX",2010,36449,10223575,280487
"Longview, TX",2011,39696,11211333,282427
"Longview, TX",2012,40197,11377930,283056
"Longview, TX",2013,39999,11303292,282589
"Longview, TX",2014,41877,11860345,283219
"Longview, TX",2015,40651,11535286,283767
"Longview, TX",2016,39297,11146264,283641
"Longview, TX",2017,39884,11351117,284602
"Longview, TX",2018,41805,11927686,285315
"Longview, WA",2000,23953,2227235,92984
"Longview, WA",2001,25111,2350594,93608
"Longview, WA",2002,24981,2356328,94325
"Longview, WA",2003,25788,2437370,94516
"Longview, WA",2004,26850,2565232,95541
"Longview, WA",2005,28493,2750569,96536
"Longview, WA",2006,29751,2950211,99162
"Longview, WA",2007,32191,3243082,100744
"Longview, WA",2008,33630,3419717,101688
"Longview, WA",2009,33284,3399144,102126
"Longview, WA",2010,35282,3611372,102358
"Longview, WA",2011,35760,3658562,102309
"Longview, WA",2012,37764,3839243,101663
"Longview, WA",2013,38331,3889914,101483
"Longview, WA",2014,39892,4060597,101790
"Longview, WA",2015,41037,4226719,102999
"Longview, WA",2016,41589,4355998,104740
"Longview, WA",2017,42904,4582411,106805
"Longview, WA",2018,44923,4885518,108752
"Los Angeles, CA",2000,31867,394920233,12392704
"Los Angeles, CA",2001,32814,410553386,12511491
"Los Angeles, CA",2002,33444,421868493,12614158
"Los Angeles, CA",2003,34980,444124296,12696521
"Los Angeles, CA",2004,37135,472917306,12734974
"Los Angeles, CA",2005,39596,503920780,12726428
"Los Angeles, CA",2006,42946,544140051,12670216
"Los Angeles, CA",2007,44493,562034002,12631988
"Los Angeles, CA",2008,44962,570696809,12692740
"Los Angeles, CA",2009,43018,549542158,12774577
"Los Angeles, CA",2010,45050,578372986,12838417
"Los Angeles, CA",2011,47662,616063548,12925753
"Los Angeles, CA",2012,50912,662546329,13013443
"Los Angeles, CA",2013,50487,661248242,13097434
"Los Angeles, CA",2014,53450,703756060,13166609
"Los Angeles, CA",2015,56945,753652141,13234696
"Los Angeles, CA",2016,58945,782242474,13270694
"Los Angeles, CA",2017,61159,812074093,13278000
"Los Angeles, CA",2018,63886,846486801,13249879
"Louisville/Jefferson County, KY",2000,30347,33163247,1092810
"Louisville/Jefferson County, KY",2001,30966,34075905,1100423
"Louisville/Jefferson County, KY",2002,31328,34721648,1108339
"Louisville/Jefferson County, KY",2003,31820,35620303,1119435
"Louisville/Jefferson County, KY",2004,33335,37649943,1129452
"Louisville/Jefferson County, KY",2005,34325,39127942,1139934
"Louisville/Jefferson County, KY",2006,36243,41836825,1154352
"Louisville/Jefferson County, KY",2007,37270,43594536,1169680
"Louisville/Jefferson County, KY",2008,37756,44696100,1183814
"Louisville/Jefferson County, KY",2009,36543,43666432,1194945
"Louisville/Jefferson County, KY",2010,37846,45591845,1204655
"Louisville/Jefferson County, KY",2011,39732,48150367,1211869
"Louisville/Jefferson County, KY",2012,42129,51405485,1220183
"Louisville/Jefferson County, KY",2013,41391,51001056,1232178
"Louisville/Jefferson County, KY",2014,43289,53650667,1239354
"Louisville/Jefferson County, KY",2015,45542,56756043,1246231
"Louisville/Jefferson County, KY",2016,46610,58379717,1252525
"Louisville/Jefferson County, KY",2017,48038,60506530,1259553
"Louisville/Jefferson County, KY",2018,50437,63652743,1262023
"Lubbock, TX",2000,24191,6208548,256651
"Lubbock, TX",2001,24469,6362356,260015
"Lubbock, TX",2002,25068,6584919,262680
"Lubbock, TX",2003,25952,6911926,266338
"Lubbock, TX",2004,26529,7122245,268466
"Lubbock, TX",2005,27928,7553885,270478
"Lubbock, TX",2006,29071,7977618,274419
"Lubbock, TX",2007,30549,8476287,277466
"Lubbock, TX",2008,32036,8980395,280321
"Lubbock, TX",2009,32064,9177919,286236
"Lubbock, TX",2010,33657,9835832,292241
"Lubbock, TX",2011,34643,10231333,295338
"Lubbock, TX",2012,36391,10836972,297793
"Lubbock, TX",2013,37264,11222817,301167
"Lubbock, TX",2014,38353,11738143,306056
"Lubbock, TX",2015,39234,12162612,310001
"Lubbock, TX",2016,39734,12467654,313780
"Lubbock, TX",2017,40813,12941631,317094
"Lubbock, TX",2018,42854,13680735,319239
"Lynchburg, VA",2000,25431,5819991,228855
"Lynchburg, VA",2001,25979,5962078,229499
"Lynchburg, VA",2002,26186,6032197,230356
"Lynchburg, VA",2003,26943,6267762,232634
"Lynchburg, VA",2004,28030,6575185,234574
"Lynchburg, VA",2005,28950,6905113,238515
"Lynchburg, VA",2006,30361,7384268,243213
"Lynchburg, VA",2007,31451,7762975,246827
"Lynchburg, VA",2008,32791,8174665,249299
"Lynchburg, VA",2009,32267,8113174,251441
"Lynchburg, VA",2010,32961,8338197,252969
"Lynchburg, VA",2011,34236,8702466,254190
"Lynchburg, VA",2012,35357,9041666,255725
"Lynchburg, VA",2013,35198,9040045,256832
"Lynchburg, VA",2014,36611,9443971,257953
"Lynchburg, VA",2015,37522,9734920,259447
"Lynchburg, VA",2016,37738,9832249,260537
"Lynchburg, VA",2017,38948,10197185,261813
"Lynchburg, VA",2018,40394,10619217,262893
"Macon, GA",2000,26218,5830963,222407
"Macon, GA",2001,26721,5955380,222869
"Macon, GA",2002,27730,6229741,224661
"Macon, GA",2003,27994,6326198,225987
"Macon, GA",2004,28801,6549116,227394
"Macon, GA",2005,29679,6770495,228125
"Macon, GA",2006,30728,7056898,229655
"Macon, GA",2007,31559,7272855,230452
"Macon, GA",2008,32427,7500809,231314
"Macon, GA",2009,31920,7407629,232065
"Macon, GA",2010,32688,7590079,232199
"Macon, GA",2011,34322,7986994,232707
"Macon, GA",2012,34156,7949324,232734
"Macon, GA",2013,34625,8006073,231225
"Macon, GA",2014,36262,8356295,230441
"Macon, GA",2015,37694,8661795,229795
"Macon, GA",2016,38171,8746728,229148
"Macon, GA",2017,39589,9065200,228985
"Macon, GA",2018,40967,9405674,229594
"Madera, CA",2000,19048,2354133,123587
"Madera, CA",2001,20374,2558591,125581
"Madera, CA",2002,21576,2769668,128369
"Madera, CA",2003,22437,2978258,132738
"Madera, CA",2004,24161,3312636,137106
"Madera, CA",2005,24639,3457218,140313
"Madera, CA",2006,25363,3642627,143622
"Madera, CA",2007,27190,3971634,146067
"Madera, CA",2008,26846,3982879,148359
"Madera, CA",2009,25889,3863463,149234
"Madera, CA",2010,28450,4295560,150986
"Madera, CA",2011,29997,4549836,151675
"Madera, CA",2012,31712,4805261,151527
"Madera, CA",2013,32872,4975765,151370
"Madera, CA",2014,34811,5341934,153456
"Madera, CA",2015,35637,5472950,153576
"Madera, CA",2016,37231,5731880,153956
"Madera, CA",2017,37967,5901022,155423
"Madera, CA",2018,39094,6133070,156882
"Madison, WI",2000,33938,18241135,537485
"Madison, WI",2001,35591,19389048,544773
"Madison, WI",2002,36528,20174861,552305
"Madison, WI",2003,37331,20873260,559138
"Madison, WI",2004,38513,21812453,566363
"Madison, WI",2005,39722,22762076,573036
"Madison, WI",2006,41912,24321550,580296
"Madison, WI",2007,43299,25447085,587711
"Madison, WI",2008,43888,26089278,594452
"Madison, WI",2009,42588,25625810,601715
"Madison, WI",2010,43423,26341322,606625
"Madison, WI",2011,46263,28366282,613159
"Madison, WI",2012,48026,29762659,619719
"Madison, WI",2013,48950,30683543,626833
"Madison, WI",2014,50745,32140252,633369
"Madison, WI",2015,53433,34207708,640198
"Madison, WI",2016,54645,35431163,648388
"Madison, WI",2017,56507,37026055,655250
"Madison, WI",2018,59591,39325386,659927
"Manchester, NH",2000,38584,14745521,382162
"Manchester, NH",2001,38155,14781967,387414
"Manchester, NH",2002,38192,14882159,389665
"Manchester, NH",2003,39125,15316073,391461
"Manchester, NH",2004,41404,16330794,394428
"Manchester, NH",2005,42264,16752532,396381
"Manchester, NH",2006,44905,17879961,398169
"Manchester, NH",2007,46959,18729319,398843
"Manchester, NH",2008,48243,19275594,399556
"Manchester, NH",2009,46643,18663907,400148
"Manchester, NH",2010,47609,19093904,401055
"Manchester, NH",2011,50062,20163586,402774
"Manchester, NH",2012,52183,21100002,404344
"Manchester, NH",2013,51707,20955970,405281
"Manchester, NH",2014,53327,21718569,407275
"Manchester, NH",2015,54788,22407570,408985
"Manchester, NH",2016,56615,23287695,411333
"Manchester, NH",2017,58566,24199521,413204
"Manchester, NH",2018,61111,25338570,414630
"Manhattan, KS",2000,23846,2608378,109384
"Manhattan, KS",2001,25190,2750571,109195
"Manhattan, KS",2002,25827,2812115,108884
"Manhattan, KS",2003,27227,2978100,109379
"Manhattan, KS",2004,28352,3134635,110560
"Manhattan, KS",2005,29262,3256735,111294
"Manhattan, KS",2006,31839,3641004,114356
"Manhattan, KS",2007,35215,4073551,115675
"Manhattan, KS",2008,37501,4522736,120604
"Manhattan, KS",2009,38042,4669177,122738
"Manhattan, KS",2010,39462,5071745,128521
"Manhattan, KS",2011,41440,5418176,130746
"Manhattan, KS",2012,40458,5572294,137731
"Manhattan, KS",2013,40138,5470577,136294
"Manhattan, KS",2014,41453,5623675,135665
"Manhattan, KS",2015,42228,5784828,136989
"Manhattan, KS",2016,43008,5763056,134000
"Manhattan, KS",2017,44194,5818900,131667
"Manhattan, KS",2018,45181,5950233,131698
"Mankato, MN",2000,26598,2284576,85892
"Mankato, MN",2001,28674,2497623,87105
"Mankato, MN",2002,29308,2582271,88107
"Mankato, MN",2003,30415,2717134,89336
"Mankato, MN",2004,31709,2858610,90152
"Mankato, MN",2005,32419,2953692,91111
"Mankato, MN",2006,34214,3177783,92879
"Mankato, MN",2007,34557,3247051,93963
"Mankato, MN",2008,35359,3363369,95121
"Mankato, MN",2009,33572,3226611,96111
"Mankato, MN",2010,34757,3365978,96844
"Mankato, MN",2011,37855,3684243,97325
"Mankato, MN",2012,40176,3937031,97994
"Mankato, MN",2013,40447,3952445,97718
"Mankato, MN",2014,42383,4181936,98670
"Mankato, MN",2015,43442,4309424,99199
"Mankato, MN",2016,43153,4318545,100075
"Mankato, MN",2017,44548,4497887,100968
"Mankato, MN",2018,46614,4734877,101577
"Mansfield, OH",2000,23982,3090153,128853
"Mansfield, OH",2001,25309,3244244,128187
"Mansfield, OH",2002,26161,3358081,128363
"Mansfield, OH",2003,27008,3465509,128312
"Mansfield, OH",2004,27394,3509062,128094
"Mansfield, OH",2005,27679,3535218,127724
"Mansfield, OH",2006,28558,3635255,127292
"Mansfield, OH",2007,29346,3726820,126995
"Mansfield, OH",2008,30648,3865602,126128
"Mansfield, OH",2009,29767,3730069,125308
"Mansfield, OH",2010,30339,3767011,124162
"Mansfield, OH",2011,32313,3979138,123144
"Mansfield, OH",2012,32895,4033984,122633
"Mansfield, OH",2013,33568,4105807,122314
"Mansfield, OH",2014,35139,4286962,121999
"Mansfield, OH",2015,36314,4419003,121688
"Mansfield, OH",2016,36551,4431478,121242
"Mansfield, OH",2017,38074,4585240,120430
"Mansfield, OH",2018,39393,4766061,120987
"McAllen, TX",2000,14141,8105800,573216
"McAllen, TX",2001,14819,8744156,590067
"McAllen, TX",2002,15493,9458542,610520
"McAllen, TX",2003,16148,10213085,632475
"McAllen, TX",2004,16962,11089633,653779
"McAllen, TX",2005,17885,12072246,674982
"McAllen, TX",2006,18730,13023872,695352
"McAllen, TX",2007,19435,13901480,715264
"McAllen, TX",2008,20443,15060449,736694
"McAllen, TX",2009,21103,15984950,757468
"McAllen, TX",2010,21927,17084134,779149
"McAllen, TX",2011,22704,18061356,795517
"McAllen, TX",2012,23130,18696793,808334
"McAllen, TX",2013,23639,19350997,818619
"McAllen, TX",2014,24347,20203330,829819
"McAllen, TX",2015,25013,21002404,839667
"McAllen, TX",2016,25290,21470472,848960
"McAllen, TX",2017,25712,22015991,856249
"McAllen, TX",2018,26615,22949668,862298
"Medford, OR",2000,25480,4631585,181775
"Medford, OR",2001,26996,4962772,183835
"Medford, OR",2002,27154,5069758,186704
"Medford, OR",2003,28464,5403489,189838
"Medford, OR",2004,29636,5695687,192185
"Medford, OR",2005,30674,5972219,194701
"Medford, OR",2006,33116,6519086,196858
"Medford, OR",2007,33793,6729891,199152
"Medford, OR",2008,34198,6879303,201162
"Medford, OR",2009,32817,6638916,202301
"Medford, OR",2010,33246,6760361,203341
"Medford, OR",2011,34827,7130728,204747
"Medford, OR",2012,36135,7438436,205852
"Medford, OR",2013,36501,7562155,207179
"Medford, OR",2014,39252,8211135,209189
"Medford, OR",2015,41547,8783198,211403
"Medford, OR",2016,43217,9264181,214366
"Medford, OR",2017,44955,9743846,216746
"Medford, OR",2018,46661,10237971,219411
"Memphis, TN",2000,29514,35659567,1208223
"Memphis, TN",2001,31023,37743704,1216621
"Memphis, TN",2002,31496,38649311,1227121
"Memphis, TN",2003,32223,39934815,1239341
"Memphis, TN",2004,33354,41719649,1250802
"Memphis, TN",2005,34267,43301764,1263658
"Memphis, TN",2006,35967,46160170,1283389
"Memphis, TN",2007,37150,48059447,1293670
"Memphis, TN",2008,37187,48419515,1302060
"Memphis, TN",2009,35806,46871506,1309030
"Memphis, TN",2010,36909,48627283,1317489
"Memphis, TN",2011,38643,51153898,1323741
"Memphis, TN",2012,40331,53696436,1331396
"Memphis, TN",2013,40233,53594324,1332114
"Memphis, TN",2014,41168,54895161,1333432
"Memphis, TN",2015,42596,56857126,1334790
"Memphis, TN",2016,43525,58158688,1336204
"Memphis, TN",2017,45034,60282226,1338582
"Memphis, TN",2018,46677,62663644,1342497
"Merced, CA",2000,19969,4238537,212258
"Merced, CA",2001,21078,4612103,218816
"Merced, CA",2002,21817,4916556,225351
"Merced, CA",2003,23266,5391609,231735
"Merced, CA",2004,24921,5910685,237180
"Merced, CA",2005,25300,6136657,242554
"Merced, CA",2006,25666,6296779,245338
"Merced, CA",2007,28218,7013386,248540
"Merced, CA",2008,27235,6823448,250538
"Merced, CA",2009,27339,6897656,252302
"Merced, CA",2010,28442,7301531,256721
"Merced, CA",2011,30558,7923689,259297
"Merced, CA",2012,31092,8110944,260867
"Merced, CA",2013,32369,8481612,262026
"Merced, CA",2014,35526,9393654,264419
"Merced, CA",2015,36794,9800267,266353
"Merced, CA",2016,37345,9994614,267628
"Merced, CA",2017,38329,10390896,271096
"Merced, CA",2018,39018,10696798,274151
"Miami, FL",2000,32399,162831842,5025895
"Miami, FL",2001,33501,171214298,5110780
"Miami, FL",2002,33960,176495025,5197205
"Miami, FL",2003,34702,182591161,5261713
"Miami, FL",2004,37092,197934899,5336368
"Miami, FL",2005,40142,217215771,5411148
"Miami, FL",2006,43459,235969223,5429748
"Miami, FL",2007,45301,245668971,5422987
"Miami, FL",2008,44232,241268655,5454633
"Miami, FL",2009,40155,221036934,5504624
"Miami, FL",2010,42890,239473700,5583394
"Miami, FL",2011,44381,251562531,5668271
"Miami, FL",2012,46027,264462149,5745743
"Miami, FL",2013,45087,262528810,5822754
"Miami, FL",2014,48357,285010621,5893858
"Miami, FL",2015,51269,306032168,5969135
"Miami, FL",2016,51682,312972537,6055686
"Miami, FL",2017,55505,339588933,6118155
"Miami, FL",2018,59151,363413990,6143837
"Michigan City, IN",2000,25362,2792940,110121
"Michigan City, IN",2001,25942,2855592,110077
"Michigan City, IN",2002,26436,2896194,109555
"Michigan City, IN",2003,27252,2971226,109027
"Michigan City, IN",2004,27873,3035777,108914
"Michigan City, IN",2005,28749,3149194,109541
"Michigan City, IN",2006,30286,3320545,109641
"Michigan City, IN",2007,31337,3473533,110846
"Michigan City, IN",2008,32751,3644066,111267
"Michigan City, IN",2009,30893,3443541,111465
"Michigan City, IN",2010,32016,3568513,111459
"Michigan City, IN",2011,34050,3790314,111317
"Michigan City, IN",2012,35975,4004198,111304
"Michigan City, IN",2013,36208,4034373,111423
"Michigan City, IN",2014,37049,4139655,111735
"Michigan City, IN",2015,37928,4203739,110835
"Michigan City, IN",2016,39156,4315852,110222
"Michigan City, IN",2017,40731,4473977,109842
"Michigan City, IN",2018,42363,4659156,109981
"Midland, MI",2000,31908,2645580,82913
"Midland, MI",2001,33598,2808014,83576
"Midland, MI",2002,33398,2794246,83664
"Midland, MI",2003,34513,2899545,84012
"Midland, MI",2004,37276,3133360,84058
"Midland, MI",2005,37199,3122140,83930
"Midland, MI",2006,38857,3252022,83693
"Midland, MI",2007,40081,3350768,83600
"Midland, MI",2008,43300,3620056,83605
"Midland, MI",2009,41688,3486720,83639
"Midland, MI",2010,42719,3573452,83651
"Midland, MI",2011,45313,3797485,83805
"Midland, MI",2012,45267,3789807,83721
"Midland, MI",2013,44311,3706693,83651
"Midland, MI",2014,40912,3415791,83492
"Midland, MI",2015,40065,3351881,83662
"Midland, MI",2016,46702,3895971,83422
"Midland, MI",2017,57548,4794515,83314
"Midland, MI",2018,54371,4524934,83223
"Midland, TX",2000,32174,3869871,120280
"Midland, TX",2001,48011,5803369,120877
"Midland, TX",2002,47712,5838541,122371
"Midland, TX",2003,51607,6384608,123717
"Midland, TX",2004,52733,6599273,125144
"Midland, TX",2005,59231,7520124,126963
"Midland, TX",2006,62862,8190075,130287
"Midland, TX",2007,60375,8056858,133448
"Midland, TX",2008,85314,11693159,137060
"Midland, TX",2009,61501,8668383,140948
"Midland, TX",2010,72251,10243928,141783
"Midland, TX",2011,97780,14188622,145108
"Midland, TX",2012,106681,16248753,152312
"Midland, TX",2013,110176,17366897,157628
"Midland, TX",2014,117133,18997438,162187
"Midland, TX",2015,88473,14861127,167974
"Midland, TX",2016,75295,12760015,169466
"Midland, TX",2017,109131,18644941,170849
"Midland, TX",2018,127283,22679972,178186
"Milwaukee, WI",2000,33765,50729272,1502420
"Milwaukee, WI",2001,35408,53368842,1507257
"Milwaukee, WI",2002,35751,54135745,1514251
"Milwaukee, WI",2003,36054,54793421,1519746
"Milwaukee, WI",2004,37467,57035647,1522302
"Milwaukee, WI",2005,38948,59294589,1522391
"Milwaukee, WI",2006,41839,63758963,1523907
"Milwaukee, WI",2007,43164,66062184,1530492
"Milwaukee, WI",2008,44150,67912556,1538232
"Milwaukee, WI",2009,42907,66489247,1549613
"Milwaukee, WI",2010,43616,67895636,1556678
"Milwaukee, WI",2011,46004,71826004,1561296
"Milwaukee, WI",2012,48084,75359894,1567248
"Milwaukee, WI",2013,47777,75092081,1571732
"Milwaukee, WI",2014,49482,77934143,1575002
"Milwaukee, WI",2015,51611,81363823,1576496
"Milwaukee, WI",2016,52535,82794744,1576004
"Milwaukee, WI",2017,54194,85325685,1574444
"Milwaukee, WI",2018,57034,89771409,1573995
"Minneapolis, MN",2000,37051,112229178,3029064
"Minneapolis, MN",2001,37871,116310993,3071250
"Minneapolis, MN",2002,38120,118203701,3100852
"Minneapolis, MN",2003,39356,123113363,3128159
"Minneapolis, MN",2004,41585,131271075,3156700
"Minneapolis, MN",2005,42764,136156811,3183920
"Minneapolis, MN",2006,44713,143940676,3219203
"Minneapolis, MN",2007,46874,152544928,3254350
"Minneapolis, MN",2008,47663,156618474,3285969
"Minneapolis, MN",2009,44803,148540012,3315368
"Minneapolis, MN",2010,46214,154354201,3340007
"Minneapolis, MN",2011,49062,165504071,3373392
"Minneapolis, MN",2012,51623,175824856,3405952
"Minneapolis, MN",2013,51645,177698320,3440782
"Minneapolis, MN",2014,54587,189756502,3476192
"Minneapolis, MN",2015,56992,199682915,3503728
"Minneapolis, MN",2016,58194,205922804,3538527
"Minneapolis, MN",2017,60179,215180937,3575699
"Minneapolis, MN",2018,62914,227122134,3610061
"Missoula, MT",2000,24947,2399369,96178
"Missoula, MT",2001,25087,2444361,97435
"Missoula, MT",2002,26025,2575676,98968
"Missoula, MT",2003,27385,2737807,99976
"Missoula, MT",2004,28866,2913605,100934
"Missoula, MT",2005,29993,3068190,102298
"Missoula, MT",2006,32065,3346740,104372
"Missoula, MT",2007,33748,3580978,106110
"Missoula, MT",2008,35205,3793230,107747
"Missoula, MT",2009,35508,3860315,108717
"Missoula, MT",2010,34223,3746315,109467
"Missoula, MT",2011,36567,4031319,110245
"Missoula, MT",2012,38783,4306521,111042
"Missoula, MT",2013,38438,4301255,111900
"Missoula, MT",2014,40855,4608495,112801
"Missoula, MT",2015,44993,5134728,114122
"Missoula, MT",2016,45022,5238224,116349
"Missoula, MT",2017,48144,5673031,117834
"Missoula, MT",2018,49798,5908024,118640
"Mobile, AL",2000,21892,9154843,418174
"Mobile, AL",2001,22981,9607524,418062
"Mobile, AL",2002,23437,9760288,416444
"Mobile, AL",2003,24043,10001894,415992
"Mobile, AL",2004,25177,10467529,415760
"Mobile, AL",2005,27076,11280821,416632
"Mobile, AL",2006,29584,12443497,420621
"Mobile, AL",2007,30455,12888546,423206
"Mobile, AL",2008,31355,13379057,426692
"Mobile, AL",2009,30478,13090101,429487
"Mobile, AL",2010,31810,13708434,430941
"Mobile, AL",2011,33613,14467861,430423
"Mobile, AL",2012,33464,14421637,430962
"Mobile, AL",2013,33850,14583275,430815
"Mobile, AL",2014,34619,14921414,431017
"Mobile, AL",2015,36095,15567638,431294
"Mobile, AL",2016,36330,15678818,431566
"Mobile, AL",2017,37319,16068405,430567
"Mobile, AL",2018,38709,16657010,430310
"Modesto, CA",2000,24326,10933692,449471
"Modesto, CA",2001,25038,11611418,463761
"Modesto, CA",2002,25609,12227609,477469
"Modesto, CA",2003,26440,12885677,487357
"Modesto, CA",2004,28112,13848266,492613
"Modesto, CA",2005,28786,14393550,500020
"Modesto, CA",2006,29756,15016155,504651
"Modesto, CA",2007,31039,15762807,507834
"Modesto, CA",2008,31350,15958173,509032
"Modesto, CA",2009,30845,15778487,511536
"Modesto, CA",2010,32118,16545238,515145
"Modesto, CA",2011,33416,17294715,517560
"Modesto, CA",2012,34624,18018958,520424
"Modesto, CA",2013,35381,18520025,523451
"Modesto, CA",2014,38171,20154943,528015
"Modesto, CA",2015,40606,21651651,533211
"Modesto, CA",2016,41604,22435251,539255
"Modesto, CA",2017,42592,23200411,544717
"Modesto, CA",2018,43631,23915119,548126
"Monroe, LA",2000,22754,4573414,200994
"Monroe, LA",2001,23408,4685728,200177
"Monroe, LA",2002,24251,4866405,200671
"Monroe, LA",2003,24558,4949226,201530
"Monroe, LA",2004,25565,5160634,201860
"Monroe, LA",2005,26864,5415661,201596
"Monroe, LA",2006,28391,5768459,203181
"Monroe, LA",2007,29742,6019885,202405
"Monroe, LA",2008,31275,6340500,202736
"Monroe, LA",2009,31979,6517785,203814
"Monroe, LA",2010,32392,6629892,204675
"Monroe, LA",2011,33861,6937642,204886
"Monroe, LA",2012,34729,7124674,205151
"Monroe, LA",2013,35384,7269846,205454
"Monroe, LA",2014,35401,7277295,205570
"Monroe, LA",2015,36850,7578788,205668
"Monroe, LA",2016,37939,7789545,205319
"Monroe, LA",2017,38721,7894937,203894
"Monroe, LA",2018,40812,8249670,202138
"Monroe, MI",2000,29749,4354161,146364
"Monroe, MI",2001,30375,4483543,147605
"Monroe, MI",2002,30292,4500139,148561
"Monroe, MI",2003,31056,4650588,149747
"Monroe, MI",2004,32096,4850228,151117
"Monroe, MI",2005,32767,4992893,152374
"Monroe, MI",2006,33525,5144680,153460
"Monroe, MI",2007,34533,5298187,153424
"Monroe, MI",2008,35047,5355365,152806
"Monroe, MI",2009,33180,5053126,152296
"Monroe, MI",2010,34203,5196594,151936
"Monroe, MI",2011,36134,5474117,151496
"Monroe, MI",2012,37507,5656186,150804
"Monroe, MI",2013,38049,5712695,150139
"Monroe, MI",2014,39863,5973360,149847
"Monroe, MI",2015,42186,6300554,149353
"Monroe, MI",2016,43492,6487185,149159
"Monroe, MI",2017,45252,6762911,149449
"Monroe, MI",2018,46881,7040382,150174
"Montgomery, AL",2000,26539,9211118,347080
"Montgomery, AL",2001,26677,9302862,348725
"Montgomery, AL",2002,27691,9719022,350984
"Montgomery, AL",2003,28946,10201010,352411
"Montgomery, AL",2004,30705,10900568,355009
"Montgomery, AL",2005,31852,11424121,358659
"Montgomery, AL",2006,33136,12127245,365989
"Montgomery, AL",2007,33980,12551790,369390
"Montgomery, AL",2008,34559,12795564,370249
"Montgomery, AL",2009,34169,12705955,371860
"Montgomery, AL",2010,34842,13070002,375119
"Montgomery, AL",2011,36379,13661973,375549
"Montgomery, AL",2012,36640,13735181,374872
"Montgomery, AL",2013,37009,13845430,374114
"Montgomery, AL",2014,38084,14223282,373476
"Montgomery, AL",2015,39841,14875366,373365
"Montgomery, AL",2016,40869,15279590,373865
"Montgomery, AL",2017,42095,15751012,374174
"Montgomery, AL",2018,43365,16175960,373022
"Morgantown, WV",2000,22885,2547948,111338
"Morgantown, WV",2001,24048,2711742,112764
"Morgantown, WV",2002,25056,2864966,114343
"Morgantown, WV",2003,25060,2918581,116466
"Morgantown, WV",2004,26595,3139828,118062
"Morgantown, WV",2005,28301,3394365,119937
"Morgantown, WV",2006,29453,3590090,121894
"Morgantown, WV",2007,30125,3720689,123507
"Morgantown, WV",2008,31651,3964765,125267
"Morgantown, WV",2009,32432,4135004,127498
"Morgantown, WV",2010,34296,4469039,130308
"Morgantown, WV",2011,35529,4713982,132678
"Morgantown, WV",2012,36393,4906297,134813
"Morgantown, WV",2013,36210,4922613,135948
"Morgantown, WV",2014,37920,5210054,137396
"Morgantown, WV",2015,39372,5453862,138523
"Morgantown, WV",2016,39140,5456276,139403
"Morgantown, WV",2017,41129,5741980,139608
"Morgantown, WV",2018,43231,6017885,139204
"Morristown, TN",2000,22065,2723943,123449
"Morristown, TN",2001,22356,2784178,124536
"Morristown, TN",2002,23012,2873066,124851
"Morristown, TN",2003,23564,2981726,126539
"Morristown, TN",2004,24567,3140067,127816
"Morristown, TN",2005,24925,3229568,129574
"Morristown, TN",2006,25611,3377613,131883
"Morristown, TN",2007,26323,3529504,134085
"Morristown, TN",2008,27283,3696676,135495
"Morristown, TN",2009,27137,3694169,136131
"Morristown, TN",2010,28104,3848707,136945
"Morristown, TN",2011,29739,4090830,137560
"Morristown, TN",2012,30432,4192168,137753
"Morristown, TN",2013,30850,4254914,137924
"Morristown, TN",2014,31844,4403431,138280
"Morristown, TN",2015,33333,4640403,139212
"Morristown, TN",2016,33843,4735435,139924
"Morristown, TN",2017,34842,4909219,140898
"Morristown, TN",2018,36425,5164293,141778
"Mount Vernon, WA",2000,28291,2925830,103420
"Mount Vernon, WA",2001,28586,2988240,104534
"Mount Vernon, WA",2002,29038,3065301,105563
"Mount Vernon, WA",2003,30157,3237973,107369
"Mount Vernon, WA",2004,31169,3398320,109030
"Mount Vernon, WA",2005,32624,3610887,110683
"Mount Vernon, WA",2006,35293,3974726,112621
"Mount Vernon, WA",2007,37547,4282873,114066
"Mount Vernon, WA",2008,39117,4530111,115808
"Mount Vernon, WA",2009,38159,4447733,116557
"Mount Vernon, WA",2010,38195,4466693,116944
"Mount Vernon, WA",2011,39820,4681927,117578
"Mount Vernon, WA",2012,42096,4955299,117714
"Mount Vernon, WA",2013,42576,5034845,118255
"Mount Vernon, WA",2014,44327,5317757,119966
"Mount Vernon, WA",2015,46138,5608530,121559
"Mount Vernon, WA",2016,47447,5864530,123603
"Mount Vernon, WA",2017,49436,6221979,125860
"Mount Vernon, WA",2018,52072,6656585,127835
"Muncie, IN",2000,25300,3004988,118776
"Muncie, IN",2001,25539,3071814,120281
"Muncie, IN",2002,25574,3067519,119949
"Muncie, IN",2003,26091,3129272,119935
"Muncie, IN",2004,26526,3154928,118938
"Muncie, IN",2005,27012,3191983,118170
"Muncie, IN",2006,27246,3196717,117326
"Muncie, IN",2007,27543,3228798,117229
"Muncie, IN",2008,28372,3319758,117007
"Muncie, IN",2009,27727,3257588,117490
"Muncie, IN",2010,28229,3321544,117665
"Muncie, IN",2011,29434,3470311,117901
"Muncie, IN",2012,31101,3639667,117027
