city_merge_name,population,year,violent_crime,property_crime,rev_total,police,education_services,education,educ_higher,educ_elem_sec,social_services,public_welfare,welfare_cash,welfare_vendors,welfare_other,correction,parks_recreation,housing_commdevt,per_capita_personal_income_dollars,personal_income_thousands_of_dollars,population_persons,total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,percent_race_one_race_asian,percent_race_one_race_black_or_african_american,percent_race_one_race_native_hawaiian_and_other_pacific_islander,percent_race_one_race_white,percent_hispanic_or_latino
"Orlando, FL",2381954.0,2015.0,0.005297,0.031058,6637.02,694.58,1514.27,1486.67,25.46,1461.22,57.25,10.15,0.0,0.0,10.15,122.87,355.56,225.23,39216.0,93667702.0,2388509.0,1601341.0,9.3,3.2,1490522.0,1223005.0,2342948.0,21.8,15.0,1202531.0,1880275.0,7162.0,523739.0,1140417.0,328687.0,13.9,4.3,16.1,0.1,70.9,28.7
"Orlando, FL",2445214.0,2016.0,0.005043,0.029635,6713.72,694.79,1495.45,1468.56,25.04,1443.52,59.61,10.41,0.0,0.0,10.41,127.59,415.75,226.41,40012.0,98253100.0,2455583.0,1647962.0,9.9,4.4,1520716.0,1244380.0,2399834.0,20.5,14.7,1229213.0,1923734.0,7216.0,535950.0,1170621.0,343168.0,13.7,4.4,16.5,0.0,71.2,29.5
"Orlando, FL",2502951.0,2017.0,0.004438,0.02774,7199.87,712.19,1602.28,1574.24,30.49,1543.75,54.93,10.49,0.0,0.0,10.49,119.94,421.5,241.36,41906.0,105508915.0,2517777.0,1698580.0,11.0,3.2,1559325.0,1289858.0,2465956.0,20.6,14.1,1263124.0,1985570.0,7532.0,546645.0,1202832.0,359986.0,12.6,4.3,16.9,0.1,68.5,30.5
"Tallahassee, FL",363918.0,2010.0,0.007749,0.036244,6944.37,425.32,989.47,952.72,9.36,943.37,32.63,17.75,0.0,0.0,17.75,188.77,166.44,191.75,34667.0,12804173.0,369345.0,213787.0,10.9,6.2,236576.0,177411.0,346787.0,26.7,25.7,180860.0,281600.0,7681.0,72400.0,165927.0,37811.0,27.7,2.3,32.6,0.0,61.8,5.9
"Tallahassee, FL",372419.0,2011.0,0.006611,0.036886,6812.65,422.14,960.38,919.3,8.36,910.94,35.15,18.07,0.0,0.0,18.07,187.2,163.83,202.08,36372.0,13502966.0,371246.0,213717.0,7.6,5.1,239359.0,195800.0,348842.0,25.3,22.8,183258.0,286746.0,8211.0,70992.0,165584.0,38491.0,24.5,2.3,32.4,0.0,60.7,6.1
"Tallahassee, FL",374804.0,2012.0,0.006134,0.034818,6542.67,428.6,933.05,877.24,11.2,866.03,15.07,0.97,0.0,0.0,0.97,127.39,136.58,197.93,35779.0,13426939.0,375272.0,217976.0,9.0,6.2,241624.0,195003.0,355496.0,24.6,22.4,184852.0,292706.0,7570.0,71775.0,170644.0,42097.0,24.1,2.5,32.7,0.0,61.0,6.6
"Tallahassee, FL",378864.0,2013.0,0.0058229999999999,0.033941,6666.11,405.78,938.9,888.11,9.21,878.9,41.88,9.43,0.0,0.0,9.43,122.49,136.38,203.42,35320.0,13181006.0,373187.0,215121.0,8.3,6.7,237206.0,194975.0,353498.0,24.9,21.5,183135.0,288328.0,7909.0,74031.0,170363.0,42261.0,22.8,2.3,33.5,0.0,61.5,6.4
"Tallahassee, FL",377234.0,2014.0,0.006792,0.036609,6856.73,413.88,899.64,871.84,12.14,859.71,95.0,8.82,0.0,0.0,8.82,123.72,147.85,167.35,37058.0,13909855.0,375356.0,219250.0,11.4,4.3,237808.0,190527.0,354103.0,25.0,22.8,181472.0,289204.0,7935.0,71855.0,172631.0,44440.0,24.3,2.7,33.7,0.1,61.5,6.3
"Tallahassee, FL",379364.0,2015.0,0.007671,0.037563,6635.77,406.34,909.66,885.77,10.81,874.96,81.32,10.24,0.0,0.0,10.24,127.05,158.44,150.86,38255.0,14445064.0,377602.0,220905.0,6.4,6.8,236991.0,190993.0,356269.0,25.3,22.4,186652.0,292774.0,7494.0,72020.0,169617.0,47258.0,24.7,2.5,33.4,0.0,60.9,6.3
"Tallahassee, FL",380448.0,2016.0,0.006316,0.040954,5781.34,412.11,958.12,935.15,16.78,918.37,97.49,10.23,0.0,0.0,10.23,135.14,157.88,142.53,39592.0,14992386.0,378672.0,223655.0,7.1,5.4,239411.0,190414.0,358857.0,17.0,18.3,185149.0,293991.0,7933.0,72134.0,173708.0,47312.0,20.9,2.7,32.9,0.1,60.8,6.6
"Tallahassee, FL",382480.0,2017.0,0.006084,0.03538,6679.98,437.98,889.93,866.57,28.17,838.4,92.51,10.55,0.0,0.0,10.55,133.01,161.42,141.94,40866.0,15658641.0,383173.0,230699.0,4.5,6.1,238437.0,194818.0,363563.0,19.8,18.2,187378.0,299040.0,8274.0,73497.0,176185.0,51629.0,20.6,2.8,32.0,0.0,61.4,6.7
"Tampa, FL",2783954.0,2010.0,0.005,0.033872,7160.69,664.77,1793.99,1751.54,10.89,1740.65,270.03,111.66,0.0,4.27,107.39,145.87,198.39,1308.13,38418.0,107124316.0,2788366.0,1935733.0,8.8,4.5,1697910.0,1387637.0,2748431.0,21.6,15.4,1419351.0,2236848.0,6159.0,580741.0,1329080.0,469780.0,15.1,3.0,11.8,0.1,80.3,16.3
"Tampa, FL",2821174.0,2011.0,0.004352,0.031015,7216.54,661.03,1727.74,1694.36,10.06,1684.3,244.87,101.82,0.0,3.82,98.0,128.72,249.68,1350.58,40726.0,114571938.0,2813269.0,1972843.0,9.4,3.5,1719265.0,1365453.0,2778958.0,23.4,16.3,1430619.0,2270117.0,6610.0,578466.0,1348339.0,481227.0,15.9,2.9,12.1,0.1,79.6,16.6
"Tampa, FL",2863265.0,2012.0,0.004093,0.028628,6726.84,652.74,1598.3,1567.67,9.98,1557.69,221.85,98.92,0.0,3.57,95.34,123.0,244.56,1425.86,40144.0,114155124.0,2843636.0,1990537.0,9.3,2.8,1721290.0,1379004.0,2800206.0,23.6,16.4,1444348.0,2288122.0,6698.0,579446.0,1355858.0,499470.0,16.0,3.0,11.9,0.1,79.7,17.0
"Tampa, FL",2872186.0,2013.0,0.003965,0.0273209999999999,7728.48,659.27,1548.56,1521.88,10.31,1511.57,195.07,77.48,0.0,2.66,74.82,118.91,235.36,1355.51,39635.0,114169041.0,2880536.0,2014198.0,9.4,3.5,1726023.0,1398232.0,2822199.0,22.7,15.4,1456511.0,2309270.0,6723.0,580121.0,1365688.0,516055.0,14.8,3.2,11.9,0.0,79.2,17.3
"Tampa, FL",2914610.0,2014.0,0.004475,0.032364,7422.91,629.95,1605.22,1573.24,10.74,1562.5,182.15,71.02,0.0,0.0,71.02,108.92,223.76,1284.12,41445.0,121324760.0,2927395.0,2054417.0,10.5,3.4,1748957.0,1402674.0,2869549.0,22.2,15.8,1480857.0,2351013.0,6929.0,587435.0,1388692.0,533157.0,15.2,3.2,12.0,0.1,78.4,17.7
"Tampa, FL",2963741.0,2015.0,0.003841,0.026276,7230.15,596.06,1702.38,1669.53,10.01,1659.52,170.38,72.78,0.0,0.0,72.78,106.71,205.04,1248.89,43142.0,128732079.0,2983928.0,2108755.0,10.0,3.4,1782734.0,1441316.0,2931612.0,20.4,14.7,1514548.0,2405645.0,7055.0,595858.0,1417064.0,553020.0,14.3,3.4,12.0,0.1,78.1,18.2
"Tampa, FL",3020266.0,2016.0,0.003408,0.023339,6496.38,605.98,1650.39,1620.47,11.06,1609.41,178.55,69.77,0.0,0.0,69.77,110.63,207.73,1227.07,43778.0,133477350.0,3048963.0,2158698.0,9.7,4.0,1809612.0,1468670.0,2985221.0,19.8,14.2,1540805.0,2455232.0,6726.0,602085.0,1444416.0,573524.0,13.8,3.4,12.0,0.1,78.2,18.6
"Tampa, FL",3083660.0,2017.0,0.003331,0.021016,7252.82,577.57,1553.3,1528.12,10.67,1517.45,139.03,30.79,0.0,0.0,30.79,110.93,237.68,1182.09,45468.0,141265900.0,3106922.0,2205165.0,10.1,3.4,1838963.0,1499693.0,3045717.0,19.4,13.9,1571043.0,2502803.0,7127.0,614752.0,1474674.0,592002.0,13.3,3.5,12.4,0.1,78.6,19.4
"Atlanta, GA",5432336.0,2010.0,0.004138,0.034626,10122.52,480.38,2443.6,2406.49,0.0,2406.49,208.53,158.46,0.0,0.0,158.46,187.19,255.39,769.3,38380.0,203513558.0,5302598.0,3369573.0,9.6,2.8,3356803.0,2778938.0,5201804.0,20.5,14.8,2676663.0,3970470.0,6883.0,1382859.0,2525141.0,462142.0,13.2,4.8,32.5,0.0,56.4,10.4
"Atlanta, GA",5338234.0,2011.0,0.0040089999999999,0.03552,10001.55,499.17,2312.6,2278.55,0.0,2278.55,198.83,154.1,0.0,0.0,154.1,192.53,214.4,645.21,40823.0,219075355.0,5366462.0,3417201.0,9.7,2.8,3401640.0,2784253.0,5276415.0,23.5,16.8,2705626.0,4038204.0,7059.0,1389136.0,2570789.0,485639.0,15.1,4.9,32.6,0.1,56.5,10.6
"Atlanta, GA",5434540.0,2012.0,0.004086,0.033834,8577.54,482.21,1865.03,1830.83,0.0,1830.83,178.49,137.09,0.0,0.0,137.09,152.82,160.54,614.96,41628.0,226640964.0,5444473.0,3484810.0,9.9,2.5,3429554.0,2795334.0,5352236.0,23.7,16.6,2758177.0,4106895.0,7170.0,1395836.0,2594059.0,526846.0,14.7,5.1,32.8,0.0,56.1,10.6
"Atlanta, GA",5511212.0,2013.0,0.003891,0.033308,9224.52,419.74,1910.57,1871.63,0.0,1871.63,173.14,136.92,0.0,0.0,136.92,144.29,115.73,602.41,41810.0,230395527.0,5510530.0,3549869.0,9.0,3.6,3469288.0,2846216.0,5430037.0,22.6,15.9,2806168.0,4190812.0,7140.0,1398244.0,2623869.0,562505.0,14.4,5.3,33.0,0.0,56.1,10.5
"Atlanta, GA",5597635.0,2014.0,0.003984,0.032313,9666.83,437.21,1894.47,1858.02,0.0,1858.02,152.43,118.89,0.0,0.0,118.89,150.15,117.25,579.95,44744.0,250262945.0,5593204.0,3625717.0,9.3,2.9,3515286.0,2867242.0,5516519.0,22.8,15.5,2853653.0,4264555.0,7101.0,1408062.0,2662866.0,593171.0,13.6,5.5,33.5,0.1,55.3,10.4
"Atlanta, GA",5704839.0,2015.0,0.00401,0.030698,8071.38,456.35,2064.58,2002.22,0.0,2002.22,115.07,68.05,0.0,0.0,68.05,155.45,116.91,495.14,46859.0,266444291.0,5686048.0,3698520.0,8.0,3.6,3568688.0,2949621.0,5617097.0,20.2,13.9,2904588.0,4360183.0,7125.0,1424015.0,2712509.0,624394.0,12.4,5.6,33.6,0.0,54.7,10.6
"Atlanta, GA",5790619.0,2016.0,0.004032,0.029983,7503.05,460.77,2090.15,2009.85,0.0,2009.85,103.07,57.5,0.0,0.0,57.5,148.41,116.65,442.18,48272.0,279395622.0,5787965.0,3772035.0,8.9,3.3,3606912.0,2993275.0,5694028.0,19.0,13.1,2951575.0,4432855.0,7061.0,1429021.0,2742453.0,658095.0,11.6,5.7,34.0,0.0,53.6,10.5
"Atlanta, GA",5882917.0,2017.0,0.003676,0.028657,8376.43,466.35,1937.24,1884.35,0.0,1884.35,142.57,48.49,0.0,0.0,48.49,140.44,121.79,482.62,50680.0,297613678.0,5872432.0,3852991.0,8.8,3.2,3661807.0,3080057.0,5784900.0,16.7,12.0,2996259.0,4512607.0,7432.0,1436550.0,2788641.0,686543.0,10.7,5.8,34.1,0.0,53.6,10.8
"Columbus, GA",286528.0,2010.0,0.004778,0.058246,4252.73,294.17,2105.13,2064.3,0.0,2064.3,501.39,90.79,0.0,0.0,90.79,158.27,105.55,62.9,32738.0,10131715.0,309476.0,175866.0,15.4,2.6,167267.0,127763.0,273210.0,27.7,19.5,146940.0,209337.0,5571.0,73001.0,126270.0,32942.0,16.7,1.9,41.4,0.0,52.2,5.7
"Columbus, GA",298305.0,2011.0,0.00409,0.052805,4296.79,263.6,2022.19,1981.46,0.0,1981.46,316.24,1.03,0.0,0.0,1.03,156.37,106.93,59.74,34705.0,10942661.0,315305.0,181071.0,11.9,2.4,174013.0,126818.0,280781.0,23.6,17.1,149564.0,215778.0,6516.0,73129.0,131217.0,33639.0,15.4,1.7,39.9,0.3,52.3,6.2
"Columbus, GA",304291.0,2012.0,0.0043739999999999,0.047786,3963.76,266.32,2120.71,2087.53,0.0,2087.53,308.78,104.62,0.0,0.0,104.62,152.13,75.79,55.44,34760.0,11217622.0,322721.0,189194.0,13.8,3.4,178529.0,129729.0,291315.0,27.3,18.7,152663.0,222300.0,6376.0,78178.0,138652.0,34608.0,15.9,1.7,40.5,0.1,52.6,6.1
"Columbus, GA",315743.0,2013.0,0.00413,0.0493,3934.2,262.47,1900.46,1862.91,0.0,1862.91,455.15,185.31,0.0,0.0,185.31,149.14,88.94,49.8,34157.0,11198267.0,327844.0,193071.0,14.7,4.0,186326.0,131929.0,299327.0,30.1,21.6,155835.0,231779.0,6501.0,75968.0,143492.0,37033.0,19.6,1.7,39.8,0.1,51.4,6.8
"Columbus, GA",322951.0,2014.0,0.004397,0.051376,3981.01,240.43,1791.25,1758.35,0.0,1758.35,534.71,276.34,0.0,0.0,276.34,144.31,70.68,45.23,35355.0,11499993.0,325273.0,197324.0,11.0,5.5,189215.0,143913.0,299394.0,28.0,19.3,153375.0,235117.0,6337.0,72630.0,146019.0,37549.0,17.6,1.7,40.0,0.2,51.6,6.8
"Columbus, GA",318981.0,2015.0,0.004687,0.043407,3614.72,241.92,1567.88,1567.88,0.0,1567.88,485.58,224.55,0.0,0.0,224.55,143.03,63.52,40.19,37339.0,12051963.0,322772.0,197171.0,11.5,9.2,186849.0,135738.0,300185.0,31.4,21.1,155058.0,233189.0,6381.0,74434.0,145127.0,38902.0,19.0,1.8,40.1,0.2,51.4,7.0
"Columbus, GA",316990.0,2016.0,0.0051829999999999,0.038108,3589.37,338.74,1596.69,1596.69,0.0,1596.69,400.08,185.66,0.0,0.0,185.66,140.66,60.55,15.42,38237.0,12199027.0,319040.0,195671.0,12.4,4.0,181917.0,131370.0,295303.0,24.9,18.8,154100.0,228123.0,6900.0,74125.0,141203.0,39261.0,17.6,1.7,41.5,0.0,49.8,6.7
"Columbus, GA",311195.0,2017.0,0.00527,0.0358519999999999,3847.55,257.78,1879.06,1879.06,0.0,1879.06,400.96,190.06,0.0,0.0,190.06,140.07,87.82,22.24,39715.0,12547542.0,315942.0,193011.0,12.4,1.9,177552.0,127374.0,291814.0,35.3,22.1,151368.0,224625.0,7817.0,74445.0,140446.0,39817.0,18.8,1.8,42.0,0.1,49.2,7.0
"Cedar Rapids, IA",260733.0,2010.0,0.001929,0.025394,4471.9,299.01,816.09,773.25,0.0,773.25,274.77,80.93,0.0,16.78,64.15,42.62,104.5,72.53,40931.0,10578111.0,258440.0,169172.0,5.1,1.6,156246.0,141745.0,251914.0,11.2,9.2,127281.0,197650.0,5953.0,61837.0,124633.0,33831.0,9.3,1.4,4.1,0.0,91.7,2.4
"Cedar Rapids, IA",259291.0,2011.0,0.001843,0.02442,5710.02,307.33,759.19,712.21,0.0,712.21,281.79,83.0,0.0,17.2,65.8,45.94,112.77,79.48,42620.0,11124960.0,261028.0,170084.0,4.3,3.4,157213.0,142880.0,253851.0,13.6,10.4,127834.0,199204.0,5582.0,62176.0,126017.0,34462.0,10.4,1.4,3.3,0.0,91.5,2.3
"Cedar Rapids, IA",263588.0,2013.0,0.002045,0.023559,5224.9,311.95,816.4,764.31,0.0,764.31,178.84,53.94,0.0,11.18,42.76,44.28,393.72,53.98,45063.0,11838256.0,262706.0,172783.0,7.0,4.1,157956.0,142022.0,255759.0,10.5,9.2,130217.0,200741.0,5763.0,61589.0,125542.0,36214.0,9.3,1.4,4.6,0.0,91.0,2.6
"Cedar Rapids, IA",263979.0,2014.0,0.002091,0.024506,4849.01,326.76,926.05,877.45,0.0,877.45,139.29,45.88,0.0,9.51,36.36,87.3,114.88,55.51,46711.0,12345774.0,264300.0,175044.0,5.1,3.1,158236.0,142344.0,256682.0,11.9,9.2,129932.0,202612.0,5463.0,60781.0,126750.0,37665.0,9.2,2.0,4.3,0.0,90.8,2.7
"Cedar Rapids, IA",265439.0,2015.0,0.001895,0.023504,4665.77,356.36,866.26,819.4,0.0,819.4,143.61,52.72,0.0,10.93,41.79,45.9,104.38,51.91,48342.0,12873980.0,266312.0,176348.0,5.3,7.7,158638.0,144646.0,257801.0,13.4,11.1,130953.0,204459.0,6654.0,60241.0,126848.0,38922.0,11.7,1.6,3.6,0.0,90.6,2.7
"Cedar Rapids, IA",269046.0,2017.0,0.002174,0.0241,4618.81,389.87,916.12,872.59,0.0,872.59,131.28,46.94,0.0,9.73,37.21,46.2,108.14,59.0,50096.0,13558514.0,270653.0,180106.0,5.6,2.6,159667.0,149823.0,263742.0,12.0,8.7,133956.0,209271.0,6673.0,62172.0,129786.0,41903.0,8.3,2.1,5.1,0.2,89.3,3.0
"Des Moines, IA",577321.0,2010.0,0.0028889999999999,0.028487,5429.17,332.6,2118.08,2064.45,0.0,2064.45,498.79,166.5,0.0,26.32,140.18,78.36,158.66,171.92,41913.0,25522229.0,608930.0,366923.0,4.0,2.9,351497.0,317991.0,558811.0,13.5,9.9,280620.0,427946.0,5910.0,146293.0,278191.0,61021.0,9.5,3.1,4.7,0.0,87.2,6.7
"Des Moines, IA",572618.0,2011.0,0.002777,0.03093,5425.38,319.1,2100.48,2034.57,0.0,2034.57,495.91,138.82,0.0,26.5,112.31,76.62,171.19,174.9,43337.0,26795384.0,618299.0,375122.0,5.2,1.3,357536.0,316778.0,567148.0,15.7,11.1,288172.0,434709.0,6651.0,147084.0,278976.0,62528.0,10.3,3.3,4.7,0.0,87.8,6.9
"Des Moines, IA",596382.0,2013.0,0.002678,0.0276469999999999,5379.96,327.4,2093.43,2051.42,0.0,2051.42,390.14,93.0,0.0,17.72,75.28,71.51,135.89,170.59,45634.0,29107336.0,637846.0,389728.0,9.3,3.2,367834.0,335557.0,588147.0,14.1,11.0,298366.0,452262.0,6197.0,151609.0,289781.0,68704.0,10.1,3.5,5.0,0.0,87.7,7.0
"Des Moines, IA",608260.0,2014.0,0.003168,0.0249859999999999,5487.86,327.53,2106.04,2061.56,0.0,2061.56,405.35,82.6,0.0,17.29,65.31,70.43,108.93,154.15,47949.0,31149990.0,649652.0,397697.0,7.6,4.4,374127.0,340754.0,599300.0,17.1,12.0,303380.0,462238.0,6137.0,153658.0,295920.0,71515.0,10.8,3.6,5.0,0.1,88.4,7.1
"Des Moines, IA",622343.0,2015.0,0.003675,0.023498,5630.89,329.19,2207.78,2161.69,0.0,2161.69,411.28,84.54,0.0,17.04,67.5,68.35,105.35,134.01,49894.0,32905966.0,659522.0,405056.0,6.5,3.8,379153.0,342550.0,611236.0,13.8,10.7,311349.0,469135.0,6687.0,157674.0,299887.0,74409.0,10.2,3.7,5.0,0.1,87.3,7.2
"Chicago, IL",9546349.0,2014.0,0.003801,0.021354,8670.13,526.92,2268.58,2217.12,0.0,2217.12,360.92,95.33,0.0,0.0,95.33,85.25,289.61,389.06,52697.0,503802066.0,9560430.0,6318646.0,8.8,2.5,5971033.0,5016234.0,9390163.0,20.1,13.9,4804474.0,7413541.0,7182.0,2237179.0,4585689.0,1181951.0,12.6,6.3,16.8,0.0,66.3,21.7
"Chicago, IL",9554259.0,2015.0,0.003776,0.020139,7854.89,520.71,2252.81,2196.28,0.0,2196.28,441.76,111.83,0.0,0.0,111.83,102.35,288.08,448.21,55508.0,530240862.0,9552554.0,6339557.0,9.0,2.1,5963597.0,5010179.0,9396317.0,19.3,13.3,4811138.0,7437345.0,7313.0,2218291.0,4585179.0,1214429.0,12.0,6.4,16.8,0.0,66.0,21.9
"Chicago, IL",9523022.0,2016.0,0.00443,0.0208159999999999,7489.86,543.45,2130.1,2072.99,0.0,2072.99,486.88,113.19,0.0,0.0,113.19,100.46,307.93,395.61,56231.0,536083043.0,9533662.0,6334326.0,9.8,2.8,5915793.0,5021653.0,9351011.0,17.4,12.4,4781758.0,7419861.0,7193.0,2188834.0,4569253.0,1246384.0,11.1,6.5,16.6,0.0,65.2,22.1
"Indianapolis, IN",1765211.0,2011.0,0.005862,0.037679,6017.52,279.37,1891.22,1787.78,0.63,1787.15,1208.01,11.59,0.0,0.0,11.59,101.7,189.0,147.41,43987.0,84046895.0,1910719.0,1140482.0,7.5,2.3,1098436.0,919920.0,1741177.0,20.0,14.1,892354.0,1336669.0,6792.0,454376.0,848823.0,188365.0,12.7,2.2,15.0,0.0,77.7,6.3
"Indianapolis, IN",1915784.0,2012.0,0.005995,0.036725,5517.86,258.45,1844.78,1779.93,0.54,1779.39,1333.24,11.08,0.0,0.0,11.08,107.75,433.64,149.12,45735.0,88253549.0,1929678.0,1158886.0,7.3,3.9,1111003.0,943138.0,1764733.0,20.6,14.4,906481.0,1356275.0,6774.0,457444.0,858252.0,196286.0,13.1,2.1,15.1,0.0,76.7,6.4
"Indianapolis, IN",1971378.0,2014.0,0.0064629999999999,0.032434,5463.86,227.57,1624.55,1573.37,0.4,1572.97,2303.52,7.13,0.0,0.01,7.12,136.49,74.06,109.04,47285.0,93198441.0,1971006.0,1277627.0,6.0,4.1,1204638.0,1020536.0,1927448.0,21.2,14.8,992453.0,1491677.0,6883.0,487131.0,934995.0,235679.0,14.0,2.8,14.7,0.1,78.0,6.4
"Indianapolis, IN",1990267.0,2015.0,0.006742,0.032078,5473.68,225.74,1625.33,1570.46,0.0,1570.46,1384.88,6.65,0.0,0.02,6.63,138.43,77.41,110.29,49293.0,97900890.0,1986119.0,1289042.0,7.8,2.6,1212941.0,1035488.0,1944922.0,20.5,13.9,999965.0,1506591.0,6900.0,490132.0,944957.0,241849.0,12.5,2.9,14.8,0.0,77.9,6.5
"Indianapolis, IN",2004800.0,2016.0,0.007134,0.032069,6266.62,235.09,1667.98,1623.15,0.0,1623.15,1495.16,5.61,0.0,0.02,5.59,126.51,123.2,115.0,50809.0,101961247.0,2006760.0,1304374.0,6.3,2.9,1215453.0,1040540.0,1959659.0,19.4,13.3,1011186.0,1521500.0,7224.0,492139.0,948473.0,252067.0,12.3,3.0,15.0,0.0,76.7,6.6
"Indianapolis, IN",2026454.0,2017.0,0.006945,0.028824,5538.46,249.89,1738.53,1686.78,0.0,1686.78,1407.03,0.08,0.0,0.03,0.06,151.25,90.54,0.0,52196.0,105832470.0,2027584.0,1328589.0,6.6,2.8,1229234.0,1051580.0,1985375.0,16.7,11.9,1018955.0,1545400.0,7598.0,493261.0,966420.0,262880.0,11.1,3.1,15.1,0.0,77.4,6.8
"Topeka, KS",233079.0,2010.0,0.0039169999999999,0.042428,4517.38,363.06,1608.73,1514.67,0.0,1514.67,113.18,12.04,1.29,10.75,0.0,115.64,169.63,112.34,36522.0,8555962.0,234266.0,152846.0,5.3,0.9,138076.0,121395.0,230559.0,26.1,16.6,119123.0,178178.0,5771.0,58963.0,111436.0,33520.0,15.2,1.2,6.4,0.0,83.0,8.8
"Topeka, KS",235354.0,2011.0,0.00376,0.042111,4624.75,355.97,1468.64,1383.95,0.0,1383.95,126.52,15.85,0.88,14.98,0.0,124.22,173.73,122.55,38263.0,8980168.0,234696.0,154470.0,5.6,1.8,139379.0,120954.0,228826.0,17.2,12.6,116220.0,179653.0,7124.0,55551.0,112606.0,33896.0,12.5,1.0,7.1,0.0,85.0,9.0
"Topeka, KS",235846.0,2012.0,0.004164,0.03836,4564.7,359.68,1614.83,1530.14,0.0,1530.14,110.12,14.53,0.87,13.66,0.0,113.27,185.94,175.31,39042.0,9151617.0,234407.0,154585.0,4.6,6.7,138213.0,118864.0,229172.0,22.7,14.9,117292.0,178843.0,5970.0,56126.0,111880.0,34833.0,14.4,0.9,5.7,0.0,85.5,9.3
"Topeka, KS",234566.0,2013.0,0.003492,0.035414,4394.08,338.81,1461.33,1373.41,0.0,1373.41,97.4,5.5,0.0,5.5,0.0,116.73,108.33,136.09,39272.0,9183310.0,233838.0,154199.0,8.5,5.4,137394.0,116378.0,229113.0,20.3,15.4,117394.0,179397.0,5251.0,56086.0,111719.0,35633.0,15.2,0.8,5.6,0.1,86.2,9.5
"Topeka, KS",234274.0,2014.0,0.0036839999999999,0.034357,4186.22,362.04,1488.8,1397.17,0.0,1397.17,97.12,4.05,0.0,4.05,0.0,117.23,105.03,125.8,40690.0,9509957.0,233717.0,155201.0,7.8,2.8,136048.0,117068.0,227681.0,17.8,13.4,116058.0,179128.0,5699.0,54949.0,111623.0,36684.0,13.1,0.7,6.3,0.0,85.6,9.6
"Topeka, KS",233316.0,2015.0,0.0039169999999999,0.036316,4264.84,385.0,1776.49,1682.69,0.0,1682.69,92.21,4.51,0.0,4.51,0.0,124.57,100.35,134.56,41719.0,9742182.0,233520.0,154000.0,5.6,4.6,134455.0,115770.0,228841.0,18.2,13.3,117348.0,179023.0,6020.0,55845.0,111493.0,38541.0,13.5,1.2,5.9,0.1,85.9,9.9
"Topeka, KS",232459.0,2016.0,0.003915,0.038648,4228.28,404.02,1746.04,1655.75,0.0,1655.75,87.47,4.96,0.0,4.96,0.0,122.56,112.58,131.34,42854.0,9990882.0,233139.0,155333.0,7.0,5.4,133633.0,117646.0,227194.0,10.7,9.5,115694.0,179521.0,6117.0,54146.0,111500.0,39415.0,9.8,1.1,6.5,0.1,83.4,9.8
"Topeka, KS",232643.0,2017.0,0.004135,0.035346,4382.57,394.25,1799.96,1708.84,0.0,1708.84,79.1,4.76,0.0,4.76,0.0,124.62,114.91,123.65,43840.0,10214471.0,232994.0,156294.0,5.1,6.3,134343.0,116747.0,227937.0,13.9,10.9,116171.0,180621.0,7099.0,53628.0,111766.0,39966.0,11.5,1.4,6.8,0.0,85.6,10.3
"Wichita, KS",621313.0,2010.0,0.005815,0.037994,5235.24,258.28,2089.41,2067.61,0.0,2067.61,194.08,14.54,0.0,0.0,14.54,126.58,109.79,4.1,38784.0,24196893.0,623887.0,390077.0,8.0,1.8,375557.0,324250.0,613701.0,18.1,13.8,313172.0,466322.0,5799.0,166155.0,300529.0,71989.0,13.0,3.6,7.5,0.0,80.8,11.7
"Wichita, KS",627017.0,2011.0,0.005772,0.039407,4808.18,256.66,2200.49,2179.56,0.0,2179.56,169.05,10.51,0.0,0.0,10.51,127.66,96.02,9.4,43330.0,27095648.0,625327.0,393590.0,7.2,3.1,375851.0,321594.0,613903.0,21.6,14.8,312384.0,466818.0,5955.0,164177.0,301519.0,73875.0,13.3,3.1,7.0,0.1,81.4,11.9
"Wichita, KS",636615.0,2012.0,0.00529,0.041826,4330.28,261.64,1860.64,1840.0,0.0,1840.0,178.11,3.96,0.0,0.0,3.96,122.49,94.77,2.1,45727.0,28724024.0,628159.0,395239.0,8.2,3.6,376404.0,315470.0,617291.0,21.5,15.1,313327.0,470555.0,6255.0,164460.0,303964.0,76427.0,13.7,3.4,7.8,0.0,82.8,12.0
"Wichita, KS",637215.0,2013.0,0.005683,0.041361,4606.64,263.04,1778.85,1758.29,0.0,1758.29,160.36,3.71,0.0,0.0,3.71,112.78,106.14,3.37,46266.0,29164714.0,630365.0,403569.0,8.0,4.0,380207.0,319172.0,626159.0,21.6,14.9,315962.0,477410.0,7113.0,166276.0,310197.0,79676.0,13.5,3.3,7.7,0.0,83.8,12.1
