city_merge_name,population,year,violent_crime,property_crime,rev_total,police,education_services,education,educ_higher,educ_elem_sec,social_services,public_welfare,welfare_cash,welfare_vendors,welfare_other,correction,parks_recreation,housing_commdevt,per_capita_personal_income_dollars,personal_income_thousands_of_dollars,population_persons,total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,percent_race_one_race_asian,percent_race_one_race_black_or_african_american,percent_race_one_race_native_hawaiian_and_other_pacific_islander,percent_race_one_race_white,percent_hispanic_or_latino
"Mobile, AL",416582.0,2010.0,0.005341,0.046257,4960.42,392.04,1530.74,1471.81,0.0,1471.81,193.25,20.02,0.0,0.0,20.02,70.06,170.88,399.01,31810.0,13708434.0,430941.0,266563.0,11.7,4.8,251428.0,194888.0,405497.0,28.1,20.2,210640.0,317705.0,6142.0,101488.0,194857.0,52581.0,18.9,1.9,34.8,0.0,60.7,2.4
"Mobile, AL",414980.0,2011.0,0.006082,0.04807,4789.89,416.28,1483.0,1431.73,0.0,1431.73,215.06,39.43,0.0,0.0,39.43,48.4,174.16,523.26,33613.0,14467861.0,430423.0,264205.0,11.0,2.4,249557.0,190144.0,404193.0,29.5,19.4,211962.0,314730.0,6631.0,101322.0,192231.0,53314.0,17.2,1.8,34.9,0.0,60.5,2.5
"Mobile, AL",414233.0,2012.0,0.005521,0.042988,4584.39,338.45,1439.19,1386.14,0.0,1386.14,206.67,11.48,0.0,0.0,11.48,61.71,160.01,312.77,33464.0,14421637.0,430962.0,264826.0,12.7,6.2,246797.0,186018.0,403118.0,30.5,21.1,212210.0,313647.0,6369.0,100452.0,190908.0,55869.0,19.1,2.0,35.1,0.0,60.6,2.5
"Mobile, AL",414070.0,2013.0,0.005859,0.045125,4182.53,332.49,1484.67,1399.0,0.0,1399.0,237.53,11.83,0.0,0.0,11.83,60.87,117.79,257.26,33850.0,14583275.0,430815.0,267057.0,13.5,7.7,247886.0,189708.0,404637.0,30.4,20.0,212404.0,316157.0,6069.0,99285.0,192233.0,57466.0,17.3,2.0,35.0,0.0,60.2,2.6
"Mobile, AL",414522.0,2014.0,0.005114,0.040058,4118.75,336.62,1442.67,1356.86,0.0,1356.86,291.34,12.2,0.0,0.0,12.2,61.1,116.88,282.81,34619.0,14921414.0,431017.0,268624.0,11.5,4.0,246913.0,185409.0,403839.0,28.9,19.3,213149.0,317487.0,6139.0,98381.0,190690.0,58545.0,17.4,2.1,35.3,0.0,59.1,2.8
"Mobile, AL",414914.0,2015.0,0.005307,0.036704,4328.34,336.68,1466.2,1379.41,0.0,1379.41,320.19,10.83,0.0,0.0,10.83,64.53,118.64,281.87,36095.0,15567638.0,431294.0,272378.0,8.6,5.7,247954.0,186451.0,405605.0,24.2,17.7,213257.0,318351.0,6955.0,97590.0,192348.0,60061.0,17.3,2.0,34.9,0.0,59.4,2.8
"Mobile, AL",414817.0,2016.0,0.005848,0.04023,4614.48,337.65,1457.71,1405.5,0.0,1405.5,351.12,14.02,0.0,0.0,14.02,62.57,157.43,293.74,36330.0,15678818.0,431566.0,272847.0,10.2,5.0,245330.0,185673.0,404347.0,30.6,19.4,214248.0,319641.0,6554.0,96897.0,190099.0,62120.0,17.3,2.0,35.7,0.0,58.6,2.8
"Mobile, AL",414842.0,2017.0,0.00619,0.0455519999999999,4735.96,336.27,1348.1,1298.2,0.0,1298.2,352.03,7.93,0.0,0.0,7.93,61.28,155.27,304.55,37319.0,16068405.0,430567.0,275488.0,9.5,1.9,246868.0,181399.0,407816.0,32.1,19.6,214101.0,322910.0,7798.0,96929.0,193715.0,64019.0,17.2,1.8,35.6,0.0,58.9,2.9
"Montgomery, AL",371821.0,2010.0,0.003413,0.0414289999999999,4856.22,320.15,1669.96,1657.18,0.0,1657.18,1182.99,14.47,0.0,0.0,14.47,98.99,107.33,171.33,34842.0,13070002.0,375119.0,233668.0,9.4,2.0,223891.0,176808.0,358364.0,26.6,17.8,189373.0,278131.0,5237.0,90752.0,168991.0,43721.0,15.9,1.4,42.5,0.0,52.9,3.3
"Montgomery, AL",376339.0,2011.0,0.002979,0.040854,4779.88,288.62,1442.69,1425.53,0.0,1425.53,1203.07,17.2,0.0,0.0,17.2,104.92,152.85,230.81,36379.0,13661973.0,375549.0,237167.0,8.9,5.3,226728.0,175731.0,364257.0,30.1,20.3,193820.0,284201.0,5856.0,91918.0,170437.0,45611.0,18.6,1.5,43.4,0.0,53.2,2.8
"Montgomery, AL",380129.0,2012.0,0.003528,0.04448,5013.03,287.98,1340.69,1323.9,0.0,1323.9,1375.47,17.52,0.0,0.0,17.52,98.59,147.43,181.16,36640.0,13735181.0,374872.0,238990.0,9.1,4.5,227772.0,176442.0,365843.0,25.9,18.0,194033.0,283771.0,6545.0,91379.0,171810.0,46692.0,16.7,1.8,43.1,0.0,52.3,3.0
"Montgomery, AL",373331.0,2014.0,0.00394,0.036121,5267.98,289.63,1317.07,1302.27,0.0,1302.27,1559.28,15.42,0.0,0.0,15.42,92.36,177.44,162.73,38084.0,14223282.0,373476.0,237848.0,9.2,4.2,224608.0,176207.0,362117.0,28.0,19.6,190254.0,284816.0,6052.0,88152.0,171863.0,49357.0,18.6,1.6,44.6,0.0,51.4,3.1
