City,Year,"Total Revenue","Individual Income Tax","Education Services Expenditure","Social Services and Income Maintenance Expenditure","Transportation Expenditure","Police Protection Expenditure","Environment and Housing Expenditure","Total Expenditures","Intergovernmental Expenditures","Current Operations","Assistance and Subsidies","Census ID - City","City Population"
"AL: Gadsden",2013,"4,066",384,"1,416",60,148,392,571,"3,965",0,"3,736",0,12028003,36569
"AL: Gadsden (City)",2013,"2,061",384,37,0,88,264,347,"1,891",0,"1,731",0,12028003
"AL: Gadsden (County)",2013,412,0,0,9,60,128,0,376,0,361,0
"AL: Gadsden",2014,"4,150",379,"1,456",60,146,399,473,"4,154",0,"3,751",0,12028003,36324
"AL: Gadsden (City)",2014,"2,040",379,35,0,86,269,248,"2,028",0,"1,681",0,12028003
"AL: Gadsden (County)",2014,418,0,0,9,60,129,0,380,0,367,0
"AL: Gadsden",2015,"4,189",394,"1,491",61,159,415,658,"4,154",0,"3,876",0,12028003,36057
"AL: Gadsden (City)",2015,"2,064",394,36,0,94,278,428,"1,961",0,"1,744",0,12028003
"AL: Gadsden (County)",2015,411,0,0,9,64,137,0,404,0,389,0
"AL: Gadsden",2016,"4,346",408,"1,520",61,157,408,663,"4,243",0,"3,895",0,12028003,35807
"AL: Gadsden (City)",2016,"2,164",408,34,0,91,267,426,"1,996",0,"1,715",0,12028003
"AL: Gadsden (County)",2016,427,0,0,10,66,141,0,415,0,401,0
"AL: Gadsden",2017,"4,286",423,"1,496",61,163,422,646,"4,175",0,"3,896",0,12028003,35622
"AL: Gadsden (City)",2017,"2,132",423,36,0,96,278,408,"1,948",0,"1,740",0,12028003
"AL: Gadsden (County)",2017,430,0,0,10,67,144,0,422,0,408,0
"AL: Mobile",2010,"4,960",0,"1,531",193,313,392,916,"4,741",40,"3,891",0,12049004,195756
"AL: Mobile (City)",2010,"2,144",0,60,40,68,286,528,"2,054",0,"1,527",0,12049004
"AL: Mobile (County)",2010,796,0,9,32,180,106,43,600,0,462,0
"AL: Mobile",2011,"4,790",0,"1,483",215,331,416,"1,088","4,863",42,"4,035",0,12049004,194577
"AL: Mobile (City)",2011,"2,099",0,51,34,83,309,571,"2,058",0,"1,676",0,12049004
"AL: Mobile (County)",2011,680,0,9,62,206,107,45,642,0,530,0
"AL: Mobile",2012,"4,584",0,"1,439",207,473,338,881,"4,696",40,"3,896",0,12049004,193992
"AL: Mobile (City)",2012,"2,123",0,53,34,197,234,544,"2,130",0,"1,674",0,12049004
"AL: Mobile (County)",2012,529,0,7,32,230,105,32,585,0,426,0
"AL: Mobile",2013,"4,183",0,"1,485",238,243,332,611,"4,277",41,"3,697",0,12049004,193858
"AL: Mobile (City)",2013,"1,836",0,86,35,109,231,336,"1,892",0,"1,572",0,12049004
"AL: Mobile (County)",2013,570,0,7,49,90,102,22,447,0,421,0
"AL: Mobile",2014,"4,119",0,"1,443",291,235,337,636,"4,389",40,"3,769",0,12049004,193555
"AL: Mobile (City)",2014,"1,843",0,86,35,109,231,336,"1,951",0,"1,572",0,12049004
"AL: Mobile (County)",2014,515,0,7,105,75,105,22,513,0,490,0
"AL: Mobile",2015,"4,328",0,"1,466",320,249,337,639,"4,577",39,"3,826",0,12049004,192979
"AL: Mobile (City)",2015,"1,985",0,87,35,110,234,340,"2,069",0,"1,592",0,12049004
"AL: Mobile (County)",2015,547,0,5,107,80,103,22,526,0,504,0
"AL: Mobile",2016,"4,614",0,"1,458",351,282,338,807,"4,645",41,"3,785",0,12049004,192377
"AL: Mobile (City)",2016,"2,248",0,52,36,112,234,516,"2,048",0,"1,542",0,12049004
"AL: Mobile (County)",2016,542,0,7,121,105,104,18,566,0,519,0
"AL: Mobile",2017,"4,736",0,"1,348",352,317,336,858,"4,684",40,"3,798",0,12049004,191885
"AL: Mobile (City)",2017,"2,409",0,50,37,109,232,564,"2,173",0,"1,558",0,12049004
"AL: Mobile (County)",2017,540,0,0,123,137,104,19,581,0,519,0
