newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Waco, TX",440,1670.0,Waco,City of Waco,70,"Waco, TX M.S.A.",4593.0,Waco,159.0,11,127431,6422,,245.0,TX,766,2011
"Warner Robins, GA",198,746.0,Warner Robins,City of Warner Robins,22,"Warner Robins, GA M.S.A.",3156.0,Warner Robins,176.0,5,67096,4078,,122.0,GA,347,2011
"Washington D, DC",2949,3849.0,Washington-Arlington-Alexandria,"City of Washington, D.C. ",172,"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",20124.0,Washington DC ,4339.0,108,617996,28312,,3756.0,DC,6985,2011
"Alexandria, DC",108,303.0,Washington-Arlington-Alexandria,"City of Alexandria, VA",14,"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",2506.0,Alexandria VA,372.0,1,141638,3181,,129.0,DC,252,2011
"Frederick, DC",189,235.0,Washington-Arlington-Alexandria,"City of Frederick, MD",19,"Washington-Arlington-Alexandria, DC-VA-MD-WV M.S.A.",1474.0,Frederick MD,78.0,2,65858,1787,,96.0,DC,306,2011
"Waterloo , IA",242,673.0,Waterloo-Cedar Falls,City of Waterloo ,52,"Waterloo-Cedar Falls, IA M.S.A.",1401.0,Waterloo ,85.0,3,68764,2159,,60.0,IA,357,2011
"Cedar Falls, IA",55,119.0,Waterloo-Cedar Falls,City of Cedar Falls,11,"Waterloo-Cedar Falls, IA M.S.A.",453.0,Cedar Falls,33.0,1,39466,605,,4.0,IA,71,2011
"Wausau, WI",70,253.0,Wausau,City of Wausau,32,"Wausau, WI M.S.A.",890.0,Wausau,35.0,0,39276,1178,,21.0,WI,123,2011
"Wenatchee, WA",58,197.0,Wenatchee-East Wenatchee,City of Wenatchee,5,"Wenatchee-East Wenatchee, WA M.S.A.",1056.0,Wenatchee,62.0,2,32426,1315,,22.0,WA,87,2011
"East Wenatchee, WA",18,64.0,Wenatchee-East Wenatchee,City of East Wenatchee,6,"Wenatchee-East Wenatchee, WA M.S.A.",468.0,East Wenatchee,14.0,0,13397,546,,7.0,WA,31,2011
"Wichita, KS",2197,4005.0,Wichita,City of Wichita,238,"Wichita, KS M.S.A.",13550.0,Wichita,1901.0,25,384796,19456,,490.0,KS,2950,2011
"Wichita Falls, TX",281,1241.0,Wichita Falls,City of Wichita Falls,30,"Wichita Falls, TX M.S.A.",3398.0,Wichita Falls,237.0,1,106753,4876,,147.0,TX,459,2011
"Williamsport, PA",35,222.0,Williamsport,City of Williamsport,8,"Williamsport, PA M.S.A.",982.0,Williamsport,50.0,1,29475,1254,,56.0,PA,100,2011
"Wilmington, NC",366,1454.0,Wilmington,City of Wilmington,32,"Wilmington, NC M.S.A.",3843.0,Wilmington,411.0,10,107826,5708,,254.0,NC,662,2011
"Winchester, VA",31,130.0,Winchester,"City of Winchester, VA",3,"Winchester, VA-WV M.S.A.",956.0,Winchester VA,31.0,0,26516,1117,,29.0,VA,63,2011
"WinstonSalem, NC",1014,4680.0,Winston-Salem,City of Winston-Salem,93,"Winston-Salem, NC M.S.A.",8522.0,WinstonSalem,672.0,14,232529,13874,,444.0,NC,1565,2011
"Worcester, MA",1342,2066.0,Worcester,City of Worcester,36,"Worcester, MA M.S.A.",3481.0,Worcester,530.0,11,182145,6077,,411.0,MA,1800,2011
"Yakima, WA",271,1619.0,Yakima,City of Yakima,48,"Yakima, WA M.S.A.",2841.0,Yakima,660.0,6,92496,5120,,156.0,WA,481,2011
"York, PA",312,429.0,York-Hanover,City of York,60,"York-Hanover, PA M.S.A.",1147.0,York,155.0,16,43857,1731,,333.0,PA,721,2011
"Hanover, PA",13,64.0,York-Hanover,City of Hanover,3,"York-Hanover, PA M.S.A.",604.0,Hanover,7.0,0,15338,675,,10.0,PA,26,2011
"Yuba City, CA",132,348.0,Yuba City,City of Yuba City,20,"Yuba City, CA M.S.A.",1277.0,Yuba City,170.0,1,65688,1795,,57.0,CA,210,2011
"Yuma, AZ",387,822.0,Yuma,City of Yuma,33,"Yuma, AZ M.S.A.",2196.0,Yuma,209.0,4,94381,3227,,66.0,AZ,490,2011
"Abilene, TX",270,1119.0,Abilene,City of Abilene,33,"Abilene, TX M.S.A.",3093.0,Abilene,172.0,5,119526,4384,,120.0,TX,428,2011
"Akron, OH",869,4268.0,Akron,City of Akron,165,"Akron, OH M.S.A.",5790.0,Akron,806.0,27,199256,10864,,718.0,OH,1779,2011
"Albany, GA",414,1332.0,Albany,City of Albany,37,"Albany, GA M.S.A.",3174.0,Albany,213.0,13,78454,4719,,176.0,GA,640,2011
"Albany, NY",582,895.0,Albany-Schenectady-Troy,City of Albany,33,"Albany-Schenectady-Troy, NY M.S.A.",3514.0,Albany,202.0,4,98296,4611,,320.0,NY,939,2011
"Schenectady, NY",382,904.0,Albany-Schenectady-Troy,City of Schenectady,43,"Albany-Schenectady-Troy, NY M.S.A.",2011.0,Schenectady,183.0,4,66432,3098,,204.0,NY,633,2011
"Troy, NY",236,775.0,Albany-Schenectady-Troy,City of Troy,23,"Albany-Schenectady-Troy, NY M.S.A.",1442.0,Troy,101.0,0,50354,2318,,112.0,NY,371,2011
"Albuquerque, NM",2910,5985.0,Albuquerque,City of Albuquerque,264,"Albuquerque, NM M.S.A.",19168.0,Albuquerque,2823.0,35,551961,27976,,998.0,NM,4207,2011
"Alexandria, LA",479,869.0,Alexandria,City of Alexandria,11,"Alexandria, LA M.S.A.",2517.0,Alexandria,174.0,2,48159,3560,,159.0,LA,651,2011
"Allentown, PA",237,1101.0,Allentown-Bethlehem-Easton,"City of Allentown, PA",61,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",3041.0,Allentown PA,433.0,10,118408,4575,,339.0,PA,647,2011
"Bethlehem, PA",102,371.0,Allentown-Bethlehem-Easton,"City of Bethlehem, PA",17,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",1405.0,Bethlehem PA,86.0,3,75221,1862,,97.0,PA,219,2011
