newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Hanover, PA",14,36.0,York-Hanover,City of Hanover,,"York-Hanover, PA M.S.A.",465.0,Hanover,4.0,1,15362,505,1.0,8.0,PA,24,2013
"Yuba City, CA",118,438.0,Yuba City,City of Yuba City,,"Yuba City, CA M.S.A.",1210.0,Yuba City,332.0,2,65133,1980,15.0,39.0,CA,174,2013
"Yuma, AZ",472,805.0,Yuma,City of Yuma,,"Yuma, AZ M.S.A.",2348.0,Yuma,222.0,5,96014,3375,46.0,64.0,AZ,587,2013
"Abilene, TX",343,1095.0,Abilene,City of Abilene,,"Abilene, TX M.S.A.",3887.0,Abilene,362.0,7,120686,5344,93.0,128.0,TX,571,2014
"Akron, OH",726,2871.0,Akron,City of Akron,,"Akron, OH M.S.A.2, 3",5611.0,Akron,579.0,26,197891,9061,171.0,435.0,OH,1358,2014
"Albany, GA",584,1172.0,Albany,City of Albany3,,"Albany, GA M.S.A.3",2849.0,Albany,175.0,9,75858,4196,26.0,156.0,GA,775,2014
"Albany, OR",4,201.0,Albany,City of Albany,,"Albany, OR M.S.A.",1358.0,Albany,116.0,2,51889,1675,10.0,26.0,OR,42,2014
"Albany, NY",503,683.0,Albany-Schenectady-Troy,City of Albany,,"Albany-Schenectady-Troy, NY M.S.A.",3083.0,Albany,122.0,8,98595,3888,54.0,237.0,NY,802,2014
"Schenectady, NY",355,642.0,Albany-Schenectady-Troy,City of Schenectady,,"Albany-Schenectady-Troy, NY M.S.A.",1752.0,Schenectady,124.0,5,65834,2518,57.0,158.0,NY,575,2014
"Troy, NY",233,540.0,Albany-Schenectady-Troy,City of Troy,,"Albany-Schenectady-Troy, NY M.S.A.",1512.0,Troy,130.0,7,49950,2182,0.0,110.0,NY,350,2014
"Albuquerque, NM",3121,6123.0,Albuquerque,City of Albuquerque,,"Albuquerque, NM M.S.A.",20756.0,Albuquerque,3558.0,30,558874,30437,402.0,1381.0,NM,4934,2014
"Alexandria, LA",670,1073.0,Alexandria,City of Alexandria,,"Alexandria, LA M.S.A.",2484.0,Alexandria,204.0,9,48618,3761,9.0,170.0,LA,858,2014
"Allentown, PA",224,940.0,Allentown-Bethlehem-Easton,"City of Allentown, PA",,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",2608.0,Allentown PA,273.0,9,118710,3821,66.0,312.0,PA,611,2014
"Bethlehem, PA",99,298.0,Allentown-Bethlehem-Easton,"City of Bethlehem, PA",,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",1429.0,Bethlehem PA,96.0,1,75024,1823,28.0,83.0,PA,211,2014
"Altoona, PA",88,208.0,Altoona,City of Altoona,,"Altoona, PA M.S.A.",658.0,Altoona,24.0,1,45676,890,38.0,32.0,PA,159,2014
"Amarillo, TX",826,1834.0,Amarillo,City of Amarillo,,"Amarillo, TX M.S.A.",6659.0,Amarillo,850.0,7,197724,9343,228.0,283.0,TX,1344,2014
"Ames, IA",37,191.0,Ames,City of Ames,,"Ames, IA M.S.A.",901.0,Ames,25.0,0,62514,1117,23.0,15.0,IA,75,2014
"Anchorage, AK",1705,1375.0,Anchorage,City of Anchorage,,"Anchorage, AK M.S.A.",9217.0,Anchorage,939.0,12,301306,11531,392.0,496.0,AK,2605,2014
"Ann Arbor, MI",114,320.0,Ann Arbor,City of Ann Arbor,,"Ann Arbor, MI M.S.A.",1779.0,Ann Arbor,101.0,0,117768,2200,56.0,24.0,MI,194,2014
"Anniston, AL",413,650.0,Anniston-Oxford-Jacksonville,City of Anniston,,"Anniston-Oxford-Jacksonville, AL M.S.A.",969.0,Anniston,92.0,4,22567,1711,42.0,77.0,AL,536,2014
"Oxford, AL",47,108.0,Anniston-Oxford-Jacksonville,City of Oxford,,"Anniston-Oxford-Jacksonville, AL M.S.A.",706.0,Oxford,23.0,2,17059,837,2.0,8.0,AL,59,2014
"Jacksonville, AL",43,143.0,Anniston-Oxford-Jacksonville,City of Jacksonville,,"Anniston-Oxford-Jacksonville, AL M.S.A.",304.0,Jacksonville,13.0,1,12462,460,6.0,17.0,AL,67,2014
"Appleton, WI",153,168.0,Appleton,City of Appleton,,"Appleton, WI M.S.A.",1190.0,Appleton,23.0,0,73841,1381,23.0,21.0,WI,197,2014
"Asheville, NC",260,841.0,Asheville,City of Asheville,,"Asheville, NC M.S.A.",3164.0,Asheville,272.0,4,88184,4277,43.0,194.0,NC,501,2014
"AthensClarke County, GA",205,760.0,Athens-Clarke County,City of Athens-Clarke County3,,"Athens-Clarke County, GA M.S.A.3",2845.0,AthensClarke County,187.0,4,121511,3792,38.0,125.0,GA,372,2014
"Atlanta, GA",3004,5470.0,Atlanta-Sandy Springs-Roswell,City of Atlanta3,,"Atlanta-Sandy Springs-Roswell, GA M.S.A.3",16498.0,Atlanta,4146.0,93,454363,26114,151.0,2329.0,GA,5577,2014
"Sandy Springs, GA",40,639.0,Atlanta-Sandy Springs-Roswell,City of Sandy Springs3,,"Atlanta-Sandy Springs-Roswell, GA M.S.A.3",1930.0,Sandy Springs,176.0,6,101184,2745,21.0,92.0,GA,159,2014
"Roswell, GA",44,372.0,Atlanta-Sandy Springs-Roswell,City of Roswell3,,"Atlanta-Sandy Springs-Roswell, GA M.S.A.3",1328.0,Roswell,89.0,3,95387,1789,10.0,53.0,GA,110,2014
"Alpharetta, GA",14,150.0,Atlanta-Sandy Springs-Roswell,City of Alpharetta3,,"Atlanta-Sandy Springs-Roswell, GA M.S.A.3",1070.0,Alpharetta,34.0,0,63478,1254,3.0,21.0,GA,38,2014
"Marietta, GA",151,366.0,Atlanta-Sandy Springs-Roswell,City of Marietta3,,"Atlanta-Sandy Springs-Roswell, GA M.S.A.3",2080.0,Marietta,208.0,5,59663,2654,8.0,139.0,GA,303,2014
"Atlantic City, NJ",200,282.0,Atlantic City-Hammonton,City of Atlantic City,,"Atlantic City-Hammonton, NJ M.S.A.",2104.0,Atlantic City,64.0,6,39544,2450,15.0,302.0,NJ,523,2014
"Hammonton , NJ",14,29.0,Atlantic City-Hammonton,City of Hammonton ,,"Atlantic City-Hammonton, NJ M.S.A.",123.0,Hammonton ,3.0,0,14800,155,0.0,3.0,NJ,17,2014
"Auburn, AL",87,257.0,Auburn-Opelika,City of Auburn,,"Auburn-Opelika, AL M.S.A",1326.0,Auburn,71.0,1,59854,1654,19.0,19.0,AL,126,2014
"Opelika, AL",142,289.0,Auburn-Opelika,City of Opelika,,"Auburn-Opelika, AL M.S.A",1245.0,Opelika,88.0,1,29201,1622,11.0,34.0,AL,188,2014
"Austin, TX",2105,5733.0,Austin-Round Rock,City of Austin,,"Austin-Round Rock, TX M.S.A.",29423.0,Austin,2288.0,32,903924,37444,571.0,873.0,TX,3581,2014
"Round Rock, TX",72,247.0,Austin-Round Rock,City of Round Rock,,"Austin-Round Rock, TX M.S.A.",1891.0,Round Rock,51.0,0,112199,2189,29.0,39.0,TX,140,2014
"Bakersfield, CA",980,4065.0,Bakersfield,City of Bakersfield,,"Bakersfield, CA M.S.A.",8247.0,Bakersfield,2283.0,17,367406,14595,21.0,660.0,CA,1678,2014
"Baltimore, MD",4213,6926.0,Baltimore-Columbia-Towson,City of Baltimore,,"Baltimore-Columbia-Towson, MD M.S.A.3",18008.0,Baltimore,4486.0,211,623513,29420,245.0,3677.0,MD,8346,2014
"Bangor, ME",28,182.0,Bangor,City of Bangor,,"Bangor, ME M.S.A.",1474.0,Bangor,22.0,1,32586,1678,4.0,22.0,ME,55,2014
"Barnstable , MA",232,223.0,Barnstable Town,City of Barnstable ,,"Barnstable Town, MA M.S.A.",793.0,Barnstable ,64.0,0,44642,1080,19.0,28.0,MA,279,2014
"Baton Rouge, LA",1142,2772.0,Baton Rouge,City of Baton Rouge,,"Baton Rouge, LA M.S.A.2",6986.0,Baton Rouge,512.0,53,229387,10270,73.0,852.0,LA,2120,2014
"Battle Creek, MI",357,770.0,Battle Creek,City of Battle Creek,,"Battle Creek, MI M.S.A",1477.0,Battle Creek,103.0,3,61225,2350,54.0,66.0,MI,480,2014
"Bay City, MI",107,272.0,Bay City,City of Bay City,,"Bay City, MI M.S.A.",695.0,Bay City,36.0,1,34307,1003,55.0,19.0,MI,182,2014
"Beaumont, TX",650,1456.0,Beaumont-Port Arthur,City of Beaumont,,"Beaumont-Port Arthur, TX M.S.A.",3861.0,Beaumont,213.0,16,117898,5530,91.0,293.0,TX,1050,2014
"Port Arthur, TX",190,528.0,Beaumont-Port Arthur,City of Port Arthur,,"Beaumont-Port Arthur, TX M.S.A.",1471.0,Port Arthur,132.0,8,54178,2131,29.0,114.0,TX,341,2014
"Beckley, WV",130,280.0,Beckley,City of Beckley,,"Beckley, WV M.S.A",947.0,Beckley,41.0,0,17595,2267,19.0,37.0,WV,186,2014
"Bellingham, WA",100,726.0,Bellingham,City of Bellingham,,"Bellingham, WA M.S.A",3808.0,Bellingham,165.0,1,83048,4699,55.0,64.0,WA,220,2014
"Bend, OR",75,255.0,Bend-Redmond,City of Bend,,"Bend-Redmond, OR M.S.A.",1799.0,Bend,86.0,0,82418,2140,16.0,23.0,OR,114,2014
"Redmond, OR",49,106.0,Bend-Redmond,City of Redmond,,"Bend-Redmond, OR M.S.A.",812.0,Redmond,47.0,0,27733,965,15.0,24.0,OR,88,2014
"Billings, MT",281,631.0,Billings,City of Billings,,"Billings, MT M.S.A.",3746.0,Billings,558.0,10,110245,4935,72.0,54.0,MT,417,2014
"Binghamton, NY",173,343.0,Binghamton,City of Binghamton,,"Binghamton, NY M.S.A.",1653.0,Binghamton,52.0,1,46229,2048,49.0,82.0,NY,305,2014
"Birmingham, AL",2084,3750.0,Birmingham-Hoover,City of Birmingham,,"Birmingham-Hoover, AL M.S.A.4",8743.0,Birmingham,1436.0,52,212115,13929,182.0,1051.0,AL,3369,2014
"Hoover, AL",32,270.0,Birmingham-Hoover,City of Hoover,,"Birmingham-Hoover, AL M.S.A.4",1908.0,Hoover,79.0,1,84843,2257,15.0,50.0,AL,98,2014
"Bismarck, ND",147,211.0,Bismarck,City of Bismarck,,"Bismarck, ND M.S.A.",1382.0,Bismarck,112.0,1,68492,1705,23.0,14.0,ND,185,2014
"Blacksburg, VA",13,67.0,Blacksburg-Christiansburg-Radford,City of Blacksburg,,"Blacksburg-Christiansburg-Radford, VA M.S.A.",311.0,Blacksburg,15.0,2,43842,393,15.0,3.0,VA,33,2014
"Christiansburg, VA",10,42.0,Blacksburg-Christiansburg-Radford,City of Christiansburg,,"Blacksburg-Christiansburg-Radford, VA M.S.A.",407.0,Christiansburg,9.0,0,21663,458,8.0,3.0,VA,21,2014
"Radford, VA",74,74.0,Blacksburg-Christiansburg-Radford,City of Radford,,"Blacksburg-Christiansburg-Radford, VA M.S.A.",291.0,Radford,8.0,0,17383,373,22.0,7.0,VA,103,2014
"Bloomington, IL",238,298.0,Bloomington,City of Bloomington,,"Bloomington, IL M.S.A.",1311.0,Bloomington,59.0,3,79451,1668,56.0,30.0,IL,327,2014
"Bloomington, IN",151,487.0,Bloomington,City of Bloomington,,"Bloomington, IN M.S.A.3",1854.0,Bloomington,125.0,1,83075,2466,61.0,81.0,IN,294,2014
"Boise , ID",457,693.0,Boise City,City of Boise ,,"Boise City, ID M.S.A.",3626.0,Boise ,192.0,4,216260,4511,123.0,57.0,ID,641,2014
"Boulder, CO",172,481.0,Boulder,City of Boulder,,"Boulder, CO M.S.A.4",2146.0,Boulder,150.0,1,104284,2777,41.0,28.0,CO,242,2014
"Bowling Green, KY",87,440.0,Bowling Green,City of Bowling Green,,"Bowling Green, KY M.S.A.",2384.0,Bowling Green,114.0,1,62117,2938,49.0,64.0,KY,201,2014
"Bremerton, WA",131,345.0,Bremerton-Silverdale,City of Bremerton,,"Bremerton-Silverdale, WA M.S.A.",1311.0,Bremerton,154.0,0,39359,1810,39.0,39.0,WA,209,2014
"Bridgeport, CT",689,1129.0,Bridgeport-Stamford-Norwalk,City of Bridgeport,,"Bridgeport-Stamford-Norwalk, CT M.S.A.",2402.0,Bridgeport,754.0,11,147822,4285,92.0,546.0,CT,1338,2014
"Stamford, CT",137,275.0,Bridgeport-Stamford-Norwalk,City of Stamford,,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1554.0,Stamford,204.0,2,127385,2033,21.0,146.0,CT,306,2014
"Norwalk, CT",182,219.0,Bridgeport-Stamford-Norwalk,City of Norwalk,,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1285.0,Norwalk,93.0,3,88232,1597,9.0,64.0,CT,258,2014
"Danbury, CT",54,230.0,Bridgeport-Stamford-Norwalk,City of Danbury,,"Bridgeport-Stamford-Norwalk, CT M.S.A.",1007.0,Danbury,115.0,1,84281,1352,31.0,64.0,CT,150,2014
"Stratford, CT",12,224.0,Bridgeport-Stamford-Norwalk,City of Stratford,,"Bridgeport-Stamford-Norwalk, CT M.S.A.",961.0,Stratford,125.0,0,52279,1310,7.0,45.0,CT,64,2014
"Brownsville, TX",312,1068.0,Brownsville-Harlingen,City of Brownsville,,"Brownsville-Harlingen, TX M.S.A.",6258.0,Brownsville,179.0,5,183433,7505,103.0,138.0,TX,558,2014
"Harlingen, TX",101,412.0,Brownsville-Harlingen,City of Harlingen,,"Brownsville-Harlingen, TX M.S.A.",1589.0,Harlingen,58.0,0,65808,2059,11.0,34.0,TX,146,2014
"Brunswick, GA",159,325.0,Brunswick,City of Brunswick3,,"Brunswick, GA M.S.A.3",836.0,Brunswick,41.0,2,15912,1202,6.0,58.0,GA,225,2014
"Buffalo, NY",1663,3119.0,Buffalo-Cheektowaga-Niagara Falls,City of Buffalo,,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",8362.0,Buffalo,968.0,60,258419,12449,174.0,1277.0,NY,3174,2014
"Cheektowaga Town, NY",110,300.0,Buffalo-Cheektowaga-Niagara Falls,City of Cheektowaga Town,,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",2324.0,Cheektowaga Town,75.0,1,78209,2699,25.0,66.0,NY,202,2014
"Niagara Falls, NY",391,650.0,Buffalo-Cheektowaga-Niagara Falls,City of Niagara Falls,,"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",1858.0,Niagara Falls,133.0,3,49300,2641,26.0,161.0,NY,581,2014
"Burlington, NC",241,460.0,Burlington,City of Burlington,,"Burlington, NC M.S.A.",1506.0,Burlington,98.0,3,51627,2064,20.0,88.0,NC,352,2014
"Canton, OH",403,1021.0,Canton-Massillon,City of Canton,,"Canton-Massillon, OH M.S.A.",2657.0,Canton,251.0,8,72391,3929,91.0,228.0,OH,730,2014
"Massillon, OH",43,281.0,Canton-Massillon,City of Massillon,,"Canton-Massillon, OH M.S.A.",777.0,Massillon,36.0,1,32196,1094,13.0,28.0,OH,85,2014
"Cape Coral, FL",186,679.0,Cape Coral-Fort Myers,City of Cape Coral,,"Cape Coral-Fort Myers, FL M.S.A.",2440.0,Cape Coral,152.0,4,168712,3271,11.0,41.0,FL,242,2014
"Fort Myers, FL",542,368.0,Cape Coral-Fort Myers,City of Fort Myers,,"Cape Coral-Fort Myers, FL M.S.A.",1680.0,Fort Myers,128.0,11,69718,2176,43.0,173.0,FL,769,2014
"Cape Girardeau, MO",145,336.0,Cape Girardeau,"City of Cape Girardeau, MO",,"Cape Girardeau, MO-IL M.S.A.",1389.0,Cape Girardeau MO,68.0,4,39012,1793,11.0,66.0,MO,226,2014
"Casper, WY",67,238.0,Casper,City of Casper,,"Casper, WY M.S.A.",1329.0,Casper,65.0,2,60771,1632,4.0,11.0,WY,84,2014
"Cedar Rapids, IA",208,933.0,Cedar Rapids,City of Cedar Rapids,,"Cedar Rapids, IA M.S.A.",3740.0,Cedar Rapids,280.0,8,128901,4953,41.0,128.0,IA,385,2014
"Chambersburg, PA",48,123.0,Chambersburg-Waynesboro,City of Chambersburg,,"Chambersburg-Waynesboro, PA M.S.A.",596.0,Chambersburg,35.0,2,20561,754,10.0,19.0,PA,79,2014
"Waynesboro, PA",18,71.0,Chambersburg-Waynesboro,City of Waynesboro,,"Chambersburg-Waynesboro, PA M.S.A.",221.0,Waynesboro,8.0,0,10748,300,9.0,5.0,PA,32,2014
"Champaign, IL",444,531.0,Champaign-Urbana,City of Champaign,,"Champaign-Urbana, IL M.S.A.",1669.0,Champaign,55.0,5,83995,2255,42.0,133.0,IL,624,2014
"Urbana, IL",49,327.0,Champaign-Urbana,City of Urbana,,"Champaign-Urbana, IL M.S.A.",1113.0,Urbana,27.0,0,41805,1467,18.0,63.0,IL,130,2014
"Charleston, WV",446,688.0,Charleston,City of Charleston,,"Charleston, WV M.S.A.",2497.0,Charleston,141.0,9,50693,3326,48.0,119.0,WV,622,2014
"Charleston, SC",167,350.0,Charleston-North Charleston,City of Charleston,,"Charleston-North Charleston, SC M.S.A.",2442.0,Charleston,179.0,8,129867,2971,25.0,70.0,SC,270,2014
"North Charleston, SC",428,797.0,Charleston-North Charleston,City of North Charleston,,"Charleston-North Charleston, SC M.S.A.",4441.0,North Charleston,504.0,23,105594,5742,80.0,241.0,SC,772,2014
"CharlotteMecklenburg, NC",3211,6031.0,Charlotte-Concord-Gastonia,"City of Charlotte-Mecklenburg, NC",,"Charlotte-Concord-Gastonia, NC-SC M.S.A.",22827.0,CharlotteMecklenburg NC,1707.0,47,856916,30565,210.0,1586.0,NC,5054,2014
"Concord, NC",42,347.0,Charlotte-Concord-Gastonia,"City of Concord, NC",,"Charlotte-Concord-Gastonia, NC-SC M.S.A.",1957.0,Concord NC,104.0,2,84558,2408,11.0,41.0,NC,96,2014
"Gastonia, NC",347,636.0,Charlotte-Concord-Gastonia,"City of Gastonia, NC",,"Charlotte-Concord-Gastonia, NC-SC M.S.A.",2852.0,Gastonia NC,200.0,1,73576,3688,23.0,113.0,NC,484,2014
"Rock Hill, NC",256,370.0,Charlotte-Concord-Gastonia,"City of Rock Hill, SC",,"Charlotte-Concord-Gastonia, NC-SC M.S.A.",1932.0,Rock Hill SC,69.0,5,69754,2371,32.0,64.0,NC,357,2014
"Charlottesville, VA",131,173.0,Charlottesville,City of Charlottesville,,"Charlottesville, VA M.S.A.",1100.0,Charlottesville,83.0,5,44574,1356,16.0,39.0,VA,191,2014
"Chattanooga, TN",1218,2089.0,Chattanooga,"City of Chattanooga, TN",,"Chattanooga, TN-GA M.S.A.3",7862.0,Chattanooga TN,1017.0,27,174449,10968,106.0,348.0,TN,1699,2014
"Cheyenne, WY",68,246.0,Cheyenne,City of Cheyenne,,"Cheyenne, WY M.S.A.",1465.0,Cheyenne,84.0,2,63155,1795,6.0,13.0,WY,89,2014
"Chicago, IL",12531,14537.0,Chicago-Naperville-Elgin,"City of Chicago, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",60601.0,Chicago IL,10023.0,411,2724121,85161,1343.0,9804.0,IL,24089,2014
"Naperville, IL",84,176.0,Chicago-Naperville-Elgin,"City of Naperville, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",1421.0,Naperville IL,37.0,1,145510,1634,8.0,20.0,IL,113,2014
"Elgin, IL",107,299.0,Chicago-Naperville-Elgin,"City of Elgin, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",1614.0,Elgin IL,84.0,3,110595,1997,46.0,65.0,IL,221,2014
"Gary, IL",353,1312.0,Chicago-Naperville-Elgin,"City of Gary, IN",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",2268.0,Gary IN,472.0,37,78013,4052,44.0,278.0,IL,712,2014
"Arlington Heights, IL",27,134.0,Chicago-Naperville-Elgin,"City of Arlington Heights, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",588.0,Arlington Heights IL,21.0,0,76200,743,4.0,12.0,IL,43,2014
"Evanston, IL",93,334.0,Chicago-Naperville-Elgin,"City of Evanston, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",1500.0,Evanston IL,66.0,1,75817,1900,3.0,54.0,IL,151,2014
"Schaumburg, IL",32,146.0,Chicago-Naperville-Elgin,"City of Schaumburg, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",1648.0,Schaumburg IL,76.0,0,75060,1870,20.0,21.0,IL,73,2014
"Skokie, IL",111,259.0,Chicago-Naperville-Elgin,"City of Skokie, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",1046.0,Skokie IL,48.0,2,65263,1353,11.0,46.0,IL,170,2014
"Des Plaines, IL",34,129.0,Chicago-Naperville-Elgin,"City of Des Plaines, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",571.0,Des Plaines IL,18.0,0,59041,718,8.0,11.0,IL,53,2014
"Hoffman Estates, IL",28,78.0,Chicago-Naperville-Elgin,"City of Hoffman Estates, IL",,"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.3",458.0,Hoffman Estates IL,22.0,0,52512,558,9.0,13.0,IL,50,2014
"Chico, CA",186,483.0,Chico,City of Chico,,"Chico, CA M.S.A.",2385.0,Chico,345.0,1,88562,3213,53.0,100.0,CA,340,2014
"Cincinnati, OH",1051,4820.0,Cincinnati,"City of Cincinnati, OH",,"Cincinnati, OH-KY-IN M.S.A.3",10639.0,Cincinnati OH,1098.0,60,297671,16557,228.0,1356.0,OH,2695,2014
"Clarksville, TN",792,973.0,Clarksville,"City of Clarksville, TN",,"Clarksville, TN-KY M.S.A.",3114.0,Clarksville TN,185.0,10,144639,4272,65.0,100.0,TN,967,2014
"Cleveland, TN",321,481.0,Cleveland,City of Cleveland,,"Cleveland, TN M.S.A.",1955.0,Cleveland,147.0,1,43135,2583,20.0,28.0,TN,370,2014
"Coeur dAlene, ID",175,334.0,Coeur d'Alene,City of Coeur d'Alene,,"Coeur d'Alene, ID M.S.A.",1347.0,Coeur dAlene,141.0,2,46952,1822,40.0,22.0,ID,239,2014
"College Station, TX",115,517.0,College Station-Bryan,City of College Station,,"College Station-Bryan, TX M.S.A.",1748.0,College Station,78.0,0,101483,2343,45.0,31.0,TX,191,2014
"Bryan, TX",207,549.0,College Station-Bryan,City of Bryan,,"College Station-Bryan, TX M.S.A.",1865.0,Bryan,107.0,5,79267,2521,68.0,58.0,TX,338,2014
"Colorado Springs, CO",1203,2759.0,Colorado Springs,City of Colorado Springs,,"Colorado Springs, CO M.S.A.",11914.0,Colorado Springs,1646.0,20,444949,16319,412.0,404.0,CO,2039,2014
"Columbia, MO",226,750.0,Columbia,City of Columbia,,"Columbia, MO M.S.A.",3069.0,Columbia,169.0,5,116847,3988,63.0,116.0,MO,410,2014
"Columbia, SC",605,1102.0,Columbia,City of Columbia,,"Columbia, SC M.S.A.",5416.0,Columbia,673.0,8,134124,7191,71.0,320.0,SC,1004,2014
"Columbus, GA",521,3711.0,Columbus,"City of Columbus, GA3",,"Columbus, GA-AL M.S.A.3",8495.0,Columbus GA,1172.0,22,206714,13378,47.0,511.0,GA,1101,2014
"Columbus, IN",13,204.0,Columbus,City of Columbus,,"Columbus, IN M.S.A.3",1630.0,Columbus,167.0,0,46196,2001,12.0,20.0,IN,45,2014
"Columbus, OH",1644,9066.0,Columbus,City of Columbus,,"Columbus, OH M.S.A.",23328.0,Columbus,2940.0,83,830811,35334,738.0,2098.0,OH,4563,2014
"Corpus Christi, TX",1410,2316.0,Corpus Christi,City of Corpus Christi,,"Corpus Christi, TX M.S.A.",11233.0,Corpus Christi,561.0,27,319211,14110,280.0,377.0,TX,2094,2014
"Corvallis, OR",44,225.0,Corvallis,City of Corvallis,,"Corvallis, OR M.S.A.",1476.0,Corvallis,36.0,0,55541,1737,16.0,12.0,OR,72,2014
"Crestview, FL",71,158.0,Crestview-Fort Walton Beach-Destin,City of Crestview,,"Crestview-Fort Walton Beach-Destin, FL M.S.A.",549.0,Crestview,33.0,1,23251,740,28.0,28.0,FL,128,2014
"Fort Walton Beach, FL",44,96.0,Crestview-Fort Walton Beach-Destin,City of Fort Walton Beach,,"Crestview-Fort Walton Beach-Destin, FL M.S.A.",560.0,Fort Walton Beach,37.0,0,20881,693,8.0,19.0,FL,71,2014
"Cumberland, MD",115,292.0,Cumberland,"City of Cumberland, MD",,"Cumberland, MD-WV M.S.A.",997.0,Cumberland MD,17.0,0,20364,1306,11.0,23.0,MD,149,2014
"Dalton, GA",58,203.0,Dalton,City of Dalton3,,"Dalton, GA M.S.A.3",979.0,Dalton,60.0,3,33464,1242,14.0,15.0,GA,90,2014
"Danville, IL",228,630.0,Danville,City of Danville,,"Danville, IL M.S.A.",1191.0,Danville,57.0,0,32404,1878,43.0,77.0,IL,348,2014
"Daphne, AL",29,64.0,Daphne-Fairhope-Foley,City of Daphne,,"Daphne-Fairhope-Foley, AL M.S.A.",401.0,Daphne,12.0,0,24111,477,7.0,5.0,AL,41,2014
"Fairhope, AL",44,111.0,Daphne-Fairhope-Foley,City of Fairhope,,"Daphne-Fairhope-Foley, AL M.S.A.",443.0,Fairhope,10.0,0,17914,564,3.0,7.0,AL,54,2014
"Foley, AL",36,98.0,Daphne-Fairhope-Foley,City of Foley,,"Daphne-Fairhope-Foley, AL M.S.A.",664.0,Foley,21.0,1,16101,783,1.0,13.0,AL,51,2014
"Davenport, IA",368,932.0,Davenport-Moline-Rock Island,"City of Davenport, IA",,"Davenport-Moline-Rock Island, IA-IL M.S.A.",3008.0,Davenport IA,250.0,2,102715,4190,100.0,166.0,IA,636,2014
"Moline, IA",129,232.0,Davenport-Moline-Rock Island,"City of Moline, IL",,"Davenport-Moline-Rock Island, IA-IL M.S.A.",1196.0,Moline IL,19.0,0,43017,1447,11.0,16.0,IA,156,2014
"Rock Island, IA",120,157.0,Davenport-Moline-Rock Island,"City of Rock Island, IL",,"Davenport-Moline-Rock Island, IA-IL M.S.A.",676.0,Rock Island IL,42.0,1,38844,875,14.0,22.0,IA,157,2014
"Dayton, OH",528,2976.0,Dayton,City of Dayton,,"Dayton, OH M.S.A.4",4397.0,Dayton,590.0,27,143217,7963,135.0,535.0,OH,1225,2014
"Decatur, AL",80,434.0,Decatur,City of Decatur,,"Decatur, AL M.S.A.",1883.0,Decatur,134.0,0,55836,2451,7.0,25.0,AL,112,2014
"Decatur, IL",251,644.0,Decatur,City of Decatur,,"Decatur, IL M.S.A.",1519.0,Decatur,62.0,1,74373,2225,10.0,93.0,IL,355,2014
"Daytona Beach, FL",578,628.0,Deltona-Daytona Beach-Ormond Beach,City of Daytona Beach,,"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",2992.0,Daytona Beach,354.0,4,62629,3974,69.0,153.0,FL,804,2014
"Ormond Beach, FL",151,259.0,Deltona-Daytona Beach-Ormond Beach,City of Ormond Beach,,"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",1226.0,Ormond Beach,70.0,0,38782,1555,0.0,15.0,FL,166,2014
"Denver, CO",2413,4555.0,Denver-Aurora-Lakewood,City of Denver,,"Denver-Aurora-Lakewood, CO M.S.A.4",14363.0,Denver,3434.0,31,665353,22352,448.0,1091.0,CO,3983,2014
"Aurora, CO",746,1816.0,Denver-Aurora-Lakewood,City of Aurora,,"Denver-Aurora-Lakewood, CO M.S.A.4",7082.0,Aurora,1064.0,11,350948,9962,274.0,417.0,CO,1448,2014
"Lakewood, CO",454,898.0,Denver-Aurora-Lakewood,City of Lakewood,,"Denver-Aurora-Lakewood, CO M.S.A.4",5293.0,Lakewood,653.0,5,148236,6844,116.0,137.0,CO,712,2014
"Broomfield, CO",11,114.0,Denver-Aurora-Lakewood,City of Broomfield,,"Denver-Aurora-Lakewood, CO M.S.A.4",886.0,Broomfield,36.0,0,60693,1036,15.0,5.0,CO,31,2014
